lote_id,sku_id,categoria,descricao,data_entrada,quantidade,custo_unitario,custo_total,aging_dias,status_aging
LOTE-000020,SKU-SKI-006,skincare,Et Skincare 6,2023-03-27,97,47.35,4592.95,645,crítico
LOTE-000021,SKU-SKI-006,skincare,Et Skincare 6,2023-09-19,212,45.55,9656.6,469,crítico
LOTE-000022,SKU-SKI-007,skincare,Deserunt Skincare 7,2023-12-30,181,102.48,18548.88,367,crítico
LOTE-000023,SKU-SKI-007,skincare,Deserunt Skincare 7,2024-05-10,216,103.2,22291.2,235,alerta
LOTE-000024,SKU-SKI-007,skincare,Deserunt Skincare 7,2023-07-30,145,104.57,15162.65,520,crítico
LOTE-000025,SKU-SKI-007,skincare,Deserunt Skincare 7,2024-04-30,81,100.6,8148.6,245,alerta
LOTE-000026,SKU-SKI-007,skincare,Deserunt Skincare 7,2023-03-15,122,105.87,12916.14,657,crítico
LOTE-000027,SKU-SKI-008,skincare,Corporis Skincare 8,2023-05-02,257,50.47,12970.79,609,crítico
LOTE-000028,SKU-SKI-008,skincare,Corporis Skincare 8,2023-02-01,253,51.56,13044.68,699,crítico
LOTE-000029,SKU-SKI-008,skincare,Corporis Skincare 8,2023-04-24,233,52.1,12139.3,617,crítico
LOTE-000030,SKU-SKI-008,skincare,Corporis Skincare 8,2023-11-17,47,52.61,2472.67,410,crítico
LOTE-000031,SKU-SKI-009,skincare,Veritatis Skincare 9,2024-04-23,45,65.24,2935.8,252,alerta
LOTE-000032,SKU-SKI-009,skincare,Veritatis Skincare 9,2023-07-28,244,64.13,15647.72,522,crítico
LOTE-000033,SKU-SKI-010,skincare,Quisquam Skincare 10,2023-03-11,131,76.01,9957.31,661,crítico
LOTE-000034,SKU-SKI-010,skincare,Quisquam Skincare 10,2023-12-02,103,74.76,7700.28,395,crítico
LOTE-000035,SKU-SKI-010,skincare,Quisquam Skincare 10,2023-10-22,98,74.63,7313.74,436,crítico
LOTE-000036,SKU-SKI-010,skincare,Quisquam Skincare 10,2024-07-18,72,72.41,5213.52,166,normal
LOTE-000037,SKU-SKI-010,skincare,Quisquam Skincare 10,2024-03-14,160,73.57,11771.2,292,alerta
LOTE-000038,SKU-SKI-011,skincare,Commodi Skincare 11,2023-09-04,298,86.4,25747.2,484,crítico
LOTE-000039,SKU-SKI-011,skincare,Commodi Skincare 11,2023-09-23,181,82.56,14943.36,465,crítico
LOTE-000040,SKU-SKI-011,skincare,Commodi Skincare 11,2023-12-18,172,84.05,14456.6,379,crítico
LOTE-000041,SKU-SKI-011,skincare,Commodi Skincare 11,2023-06-16,257,87.09,22382.13,564,crítico
LOTE-000042,SKU-SKI-012,skincare,Rerum Skincare 12,2023-10-13,159,62.82,9988.38,445,crítico
LOTE-000043,SKU-SKI-012,skincare,Rerum Skincare 12,2024-10-16,244,65.3,15933.2,76,normal
LOTE-000044,SKU-SKI-012,skincare,Rerum Skincare 12,2023-12-21,123,63.34,7790.82,376,crítico
LOTE-000045,SKU-SKI-013,skincare,Nisi Skincare 13,2024-10-07,88,79.88,7029.44,85,normal
LOTE-000046,SKU-SKI-013,skincare,Nisi Skincare 13,2024-11-07,37,79.66,2947.42,54,normal
LOTE-000047,SKU-SKI-013,skincare,Nisi Skincare 13,2023-04-02,164,81.18,13313.52,639,crítico
LOTE-000048,SKU-SKI-013,skincare,Nisi Skincare 13,2024-06-14,95,81.62,7753.9,200,alerta
LOTE-000049,SKU-SKI-013,skincare,Nisi Skincare 13,2024-09-18,105,84.19,8839.95,104,normal
LOTE-000050,SKU-SKI-014,skincare,Aliquid Skincare 14,2024-05-09,112,55.32,6195.84,236,alerta
LOTE-000051,SKU-SKI-014,skincare,Aliquid Skincare 14,2024-01-11,215,56.51,12149.65,355,alerta
LOTE-000052,SKU-SKI-014,skincare,Aliquid Skincare 14,2024-06-30,230,55.75,12822.5,184,alerta
LOTE-000053,SKU-SKI-015,skincare,Aliquam Skincare 15,2023-01-09,214,79.88,17094.32,722,crítico
LOTE-000054,SKU-SKI-015,skincare,Aliquam Skincare 15,2024-03-03,33,80.56,2658.48,303,alerta
LOTE-000055,SKU-SKI-015,skincare,Aliquam Skincare 15,2023-05-04,63,79.19,4988.97,607,crítico
LOTE-000056,SKU-SKI-015,skincare,Aliquam Skincare 15,2024-02-16,196,83.02,16271.92,319,alerta
LOTE-000057,SKU-SKI-016,skincare,Consectetur Skincare 16,2024-06-22,224,85.35,19118.4,192,alerta
LOTE-000058,SKU-SKI-016,skincare,Consectetur Skincare 16,2023-12-29,68,85.56,5818.08,368,crítico
LOTE-000059,SKU-SKI-016,skincare,Consectetur Skincare 16,2023-03-25,197,87.29,17196.13,647,crítico
LOTE-000060,SKU-SKI-016,skincare,Consectetur Skincare 16,2023-01-30,141,87.33,12313.53,701,crítico
LOTE-000061,SKU-SKI-017,skincare,Esse Skincare 17,2024-01-08,209,48.79,10197.11,358,alerta
LOTE-000062,SKU-SKI-017,skincare,Esse Skincare 17,2024-07-19,72,52.24,3761.28,165,normal
LOTE-000063,SKU-SKI-017,skincare,Esse Skincare 17,2024-07-10,48,49.45,2373.6,174,normal
LOTE-000064,SKU-SKI-017,skincare,Esse Skincare 17,2024-11-20,46,52.34,2407.64,41,normal
LOTE-000065,SKU-SKI-018,skincare,Eveniet Skincare 18,2024-02-14,35,122.85,4299.75,321,alerta
LOTE-000066,SKU-SKI-018,skincare,Eveniet Skincare 18,2023-12-31,236,130.24,30736.64,366,crítico
LOTE-000067,SKU-SKI-018,skincare,Eveniet Skincare 18,2024-12-01,267,124.98,33369.66,30,normal
LOTE-000068,SKU-SKI-018,skincare,Eveniet Skincare 18,2024-05-06,115,122.09,14040.35,239,alerta
LOTE-000069,SKU-SKI-018,skincare,Eveniet Skincare 18,2024-10-16,73,130.38,9517.74,76,normal
LOTE-000070,SKU-SKI-019,skincare,Quae Skincare 19,2024-03-22,29,62.97,1826.13,284,alerta
LOTE-000071,SKU-SKI-019,skincare,Quae Skincare 19,2023-02-11,295,61.92,18266.4,689,crítico
LOTE-000072,SKU-SKI-019,skincare,Quae Skincare 19,2023-10-07,129,63.6,8204.4,451,crítico
LOTE-000073,SKU-MAQ-001,maquiagem,Sed Maquiagem 1,2023-01-25,237,61.17,14497.29,706,crítico
LOTE-000074,SKU-MAQ-001,maquiagem,Sed Maquiagem 1,2023-09-09,139,58.64,8150.96,479,crítico
LOTE-000075,SKU-MAQ-002,maquiagem,Alias Maquiagem 2,2024-06-26,90,32.59,2933.1,188,alerta
LOTE-000076,SKU-MAQ-002,maquiagem,Alias Maquiagem 2,2023-09-07,236,31.28,7382.08,481,crítico
LOTE-000077,SKU-MAQ-002,maquiagem,Alias Maquiagem 2,2024-08-22,78,30.69,2393.82,131,normal
LOTE-000078,SKU-MAQ-002,maquiagem,Alias Maquiagem 2,2023-01-14,275,32.08,8822.0,717,crítico
LOTE-000079,SKU-MAQ-002,maquiagem,Alias Maquiagem 2,2024-11-09,289,30.43,8794.27,52,normal
LOTE-000080,SKU-MAQ-003,maquiagem,Ratione Maquiagem 3,2023-06-22,53,29.97,1588.41,558,crítico
LOTE-000081,SKU-MAQ-003,maquiagem,Ratione Maquiagem 3,2024-08-13,70,30.43,2130.1,140,normal
LOTE-000082,SKU-MAQ-003,maquiagem,Ratione Maquiagem 3,2024-01-28,121,28.94,3501.74,338,alerta
LOTE-000083,SKU-MAQ-003,maquiagem,Ratione Maquiagem 3,2024-11-16,23,30.95,711.85,45,normal
LOTE-000084,SKU-MAQ-003,maquiagem,Ratione Maquiagem 3,2024-11-07,76,31.07,2361.32,54,normal
LOTE-000085,SKU-MAQ-004,maquiagem,Eius Maquiagem 4,2023-12-05,66,38.83,2562.78,392,crítico
LOTE-000086,SKU-MAQ-004,maquiagem,Eius Maquiagem 4,2024-03-05,298,41.75,12441.5,301,alerta
LOTE-000087,SKU-MAQ-004,maquiagem,Eius Maquiagem 4,2023-02-12,35,40.16,1405.6,688,crítico
LOTE-000088,SKU-MAQ-004,maquiagem,Eius Maquiagem 4,2023-10-04,266,38.3,10187.8,454,crítico
LOTE-000089,SKU-MAQ-004,maquiagem,Eius Maquiagem 4,2023-07-08,72,40.57,2921.04,542,crítico
LOTE-000090,SKU-MAQ-005,maquiagem,Totam Maquiagem 5,2023-07-23,189,40.37,7629.93,527,crítico
LOTE-000091,SKU-MAQ-005,maquiagem,Totam Maquiagem 5,2024-04-28,36,39.96,1438.56,247,alerta
LOTE-000092,SKU-MAQ-005,maquiagem,Totam Maquiagem 5,2023-01-21,126,39.91,5028.66,710,crítico
LOTE-000093,SKU-MAQ-005,maquiagem,Totam Maquiagem 5,2023-12-05,280,43.27,12115.6,392,crítico
LOTE-000094,SKU-MAQ-006,maquiagem,Voluptates Maquiagem 6,2023-03-24,268,51.72,13860.96,648,crítico
LOTE-000095,SKU-MAQ-006,maquiagem,Voluptates Maquiagem 6,2023-03-02,115,48.98,5632.7,670,crítico
LOTE-000096,SKU-MAQ-006,maquiagem,Voluptates Maquiagem 6,2023-01-11,46,49.57,2280.22,720,crítico
LOTE-000097,SKU-MAQ-006,maquiagem,Voluptates Maquiagem 6,2024-11-07,199,52.15,10377.85,54,normal
LOTE-000098,SKU-MAQ-006,maquiagem,Voluptates Maquiagem 6,2023-12-02,206,50.37,10376.22,395,crítico
LOTE-000099,SKU-MAQ-007,maquiagem,Quisquam Maquiagem 7,2024-10-30,75,82.39,6179.25,62,normal
LOTE-000100,SKU-MAQ-007,maquiagem,Quisquam Maquiagem 7,2024-07-10,250,79.96,19990.0,174,normal
LOTE-000101,SKU-MAQ-008,maquiagem,Nihil Maquiagem 8,2023-02-28,186,76.93,14308.98,672,crítico
LOTE-000102,SKU-MAQ-008,maquiagem,Nihil Maquiagem 8,2023-07-11,154,78.62,12107.48,539,crítico
LOTE-000103,SKU-MAQ-009,maquiagem,Est Maquiagem 9,2023-08-19,87,64.12,5578.44,500,crítico
LOTE-000104,SKU-MAQ-009,maquiagem,Est Maquiagem 9,2023-12-30,197,63.28,12466.16,367,crítico
LOTE-000105,SKU-MAQ-009,maquiagem,Est Maquiagem 9,2024-11-10,155,61.93,9599.15,51,normal
LOTE-000106,SKU-MAQ-010,maquiagem,Occaecati Maquiagem 10,2024-10-23,120,27.84,3340.8,69,normal
LOTE-000107,SKU-MAQ-010,maquiagem,Occaecati Maquiagem 10,2023-09-21,107,28.39,3037.73,467,crítico
LOTE-000108,SKU-MAQ-010,maquiagem,Occaecati Maquiagem 10,2023-08-04,109,29.4,3204.6,515,crítico
LOTE-000109,SKU-MAQ-011,maquiagem,Repudiandae Maquiagem 11,2023-06-27,174,28.14,4896.36,553,crítico
LOTE-000110,SKU-MAQ-011,maquiagem,Repudiandae Maquiagem 11,2023-07-23,23,26.56,610.88,527,crítico
LOTE-000111,SKU-MAQ-012,maquiagem,Hic Maquiagem 12,2023-12-05,283,41.51,11747.33,392,crítico
LOTE-000112,SKU-MAQ-012,maquiagem,Hic Maquiagem 12,2024-11-04,123,45.17,5555.91,57,normal
LOTE-000113,SKU-MAQ-012,maquiagem,Hic Maquiagem 12,2023-09-10,28,44.38,1242.64,478,crítico
LOTE-000114,SKU-MAQ-013,maquiagem,Ab Maquiagem 13,2024-02-14,57,68.3,3893.1,321,alerta
LOTE-000115,SKU-MAQ-013,maquiagem,Ab Maquiagem 13,2023-09-02,89,68.7,6114.3,486,crítico
LOTE-000116,SKU-MAQ-013,maquiagem,Ab Maquiagem 13,2023-05-24,271,65.22,17674.62,587,crítico
LOTE-000117,SKU-MAQ-014,maquiagem,Dolore Maquiagem 14,2024-08-16,27,39.58,1068.66,137,normal
LOTE-000118,SKU-MAQ-014,maquiagem,Dolore Maquiagem 14,2023-09-19,267,42.33,11302.11,469,crítico
LOTE-000119,SKU-MAQ-014,maquiagem,Dolore Maquiagem 14,2024-11-01,154,39.95,6152.3,60,normal
LOTE-000120,SKU-MAQ-014,maquiagem,Dolore Maquiagem 14,2023-11-02,274,40.89,11203.86,425,crítico
LOTE-000121,SKU-MAQ-014,maquiagem,Dolore Maquiagem 14,2024-11-01,137,40.94,5608.78,60,normal
LOTE-000122,SKU-MAQ-015,maquiagem,Voluptatem Maquiagem 15,2024-09-11,282,35.92,10129.44,111,normal
LOTE-000123,SKU-MAQ-015,maquiagem,Voluptatem Maquiagem 15,2023-04-15,81,33.38,2703.78,626,crítico
LOTE-000124,SKU-MAQ-016,maquiagem,Nisi Maquiagem 16,2024-03-31,26,32.34,840.84,275,alerta
LOTE-000125,SKU-MAQ-016,maquiagem,Nisi Maquiagem 16,2024-07-25,269,33.94,9129.86,159,normal
LOTE-000126,SKU-PER-001,perfumes,Laboriosam Perfumes 1,2024-01-25,266,181.53,48286.98,341,alerta
LOTE-000127,SKU-PER-001,perfumes,Laboriosam Perfumes 1,2024-06-24,176,192.83,33938.08,190,alerta
LOTE-000128,SKU-PER-001,perfumes,Laboriosam Perfumes 1,2023-12-14,125,180.4,22550.0,383,crítico
LOTE-000129,SKU-PER-001,perfumes,Laboriosam Perfumes 1,2023-07-22,168,193.81,32560.08,528,crítico
LOTE-000130,SKU-PER-001,perfumes,Laboriosam Perfumes 1,2024-10-15,117,186.3,21797.1,77,normal
LOTE-000131,SKU-PER-002,perfumes,Hic Perfumes 2,2023-12-26,255,82.2,20961.0,371,crítico
LOTE-000132,SKU-PER-002,perfumes,Hic Perfumes 2,2024-06-08,172,80.49,13844.28,206,alerta
LOTE-000133,SKU-PER-002,perfumes,Hic Perfumes 2,2023-08-13,253,84.92,21484.76,506,crítico
LOTE-000134,SKU-PER-003,perfumes,Dolor Perfumes 3,2023-03-13,57,191.44,10912.08,659,crítico
LOTE-000135,SKU-PER-003,perfumes,Dolor Perfumes 3,2024-06-03,43,201.82,8678.26,211,alerta
LOTE-000136,SKU-PER-004,perfumes,Esse Perfumes 4,2023-07-22,224,177.19,39690.56,528,crítico
LOTE-000137,SKU-PER-004,perfumes,Esse Perfumes 4,2023-03-27,124,178.07,22080.68,645,crítico
LOTE-000138,SKU-PER-004,perfumes,Esse Perfumes 4,2024-02-06,128,188.98,24189.44,329,alerta
LOTE-000139,SKU-PER-005,perfumes,Labore Perfumes 5,2023-12-01,32,127.01,4064.32,396,crítico
LOTE-000140,SKU-PER-005,perfumes,Labore Perfumes 5,2024-03-07,31,121.29,3759.99,299,alerta
LOTE-000141,SKU-PER-005,perfumes,Labore Perfumes 5,2023-11-17,50,128.59,6429.5,410,crítico
LOTE-000142,SKU-PER-005,perfumes,Labore Perfumes 5,2023-08-14,144,121.67,17520.48,505,crítico
LOTE-000143,SKU-PER-005,perfumes,Labore Perfumes 5,2024-01-19,69,125.79,8679.51,347,alerta
LOTE-000144,SKU-PER-006,perfumes,Corporis Perfumes 6,2024-02-09,140,220.87,30921.8,326,alerta
LOTE-000145,SKU-PER-006,perfumes,Corporis Perfumes 6,2024-11-07,265,227.94,60404.1,54,normal
LOTE-000146,SKU-PER-007,perfumes,Consectetur Perfumes 7,2023-12-29,250,123.21,30802.5,368,crítico
LOTE-000147,SKU-PER-007,perfumes,Consectetur Perfumes 7,2024-10-02,140,116.23,16272.2,90,normal
LOTE-000148,SKU-PER-007,perfumes,Consectetur Perfumes 7,2024-02-27,106,121.73,12903.38,308,alerta
LOTE-000149,SKU-PER-007,perfumes,Consectetur Perfumes 7,2023-12-26,143,113.52,16233.36,371,crítico
LOTE-000150,SKU-PER-008,perfumes,Modi Perfumes 8,2023-09-08,156,117.26,18292.56,480,crítico
LOTE-000151,SKU-PER-008,perfumes,Modi Perfumes 8,2024-11-09,84,125.15,10512.6,52,normal
LOTE-000152,SKU-PER-009,perfumes,Consequatur Perfumes 9,2023-01-04,106,197.07,20889.42,727,crítico
LOTE-000153,SKU-PER-009,perfumes,Consequatur Perfumes 9,2024-03-27,140,196.03,27444.2,279,alerta
LOTE-000154,SKU-PER-009,perfumes,Consequatur Perfumes 9,2023-07-11,85,205.21,17442.85,539,crítico
LOTE-000155,SKU-PER-009,perfumes,Consequatur Perfumes 9,2024-02-16,86,192.85,16585.1,319,alerta
LOTE-000156,SKU-PER-009,perfumes,Consequatur Perfumes 9,2024-04-06,89,206.2,18351.8,269,alerta
LOTE-000157,SKU-PER-010,perfumes,Magnam Perfumes 10,2023-01-27,86,208.35,17918.1,704,crítico
LOTE-000158,SKU-PER-010,perfumes,Magnam Perfumes 10,2023-07-08,174,209.44,36442.56,542,crítico
LOTE-000159,SKU-PER-010,perfumes,Magnam Perfumes 10,2023-01-15,28,209.98,5879.44,716,crítico
LOTE-000160,SKU-PER-010,perfumes,Magnam Perfumes 10,2024-08-24,270,215.21,58106.7,129,normal
LOTE-000161,SKU-PER-010,perfumes,Magnam Perfumes 10,2023-12-05,61,208.4,12712.4,392,crítico
LOTE-000162,SKU-PER-011,perfumes,Laborum Perfumes 11,2023-01-04,115,100.86,11598.9,727,crítico
LOTE-000163,SKU-PER-011,perfumes,Laborum Perfumes 11,2024-08-05,141,101.38,14294.58,148,normal
LOTE-000164,SKU-PER-012,perfumes,Sed Perfumes 12,2023-01-12,231,194.76,44989.56,719,crítico
LOTE-000165,SKU-PER-012,perfumes,Sed Perfumes 12,2023-12-27,234,206.63,48351.42,370,crítico
LOTE-000166,SKU-PER-012,perfumes,Sed Perfumes 12,2024-04-24,203,189.25,38417.75,251,alerta
LOTE-000167,SKU-PER-012,perfumes,Sed Perfumes 12,2024-10-08,214,197.38,42239.32,84,normal
LOTE-000168,SKU-PER-013,perfumes,Fuga Perfumes 13,2023-12-30,288,205.99,59325.12,367,crítico
LOTE-000169,SKU-PER-013,perfumes,Fuga Perfumes 13,2024-11-06,66,196.74,12984.84,55,normal
LOTE-000170,SKU-PER-013,perfumes,Fuga Perfumes 13,2024-03-28,52,195.46,10163.92,278,alerta
LOTE-000171,SKU-PER-013,perfumes,Fuga Perfumes 13,2023-08-04,39,188.82,7363.98,515,crítico
LOTE-000172,SKU-HAI-001,haircare,Aperiam Haircare 1,2023-06-14,94,72.1,6777.4,566,crítico
LOTE-000173,SKU-HAI-001,haircare,Aperiam Haircare 1,2024-07-28,169,70.09,11845.21,156,normal
LOTE-000174,SKU-HAI-001,haircare,Aperiam Haircare 1,2023-11-02,108,75.7,8175.6,425,crítico
LOTE-000175,SKU-HAI-002,haircare,Officia Haircare 2,2023-04-20,128,36.2,4633.6,621,crítico
LOTE-000176,SKU-HAI-002,haircare,Officia Haircare 2,2024-07-11,169,36.2,6117.8,173,normal
LOTE-000177,SKU-HAI-002,haircare,Officia Haircare 2,2023-07-28,131,34.45,4512.95,522,crítico
LOTE-000178,SKU-HAI-003,haircare,Quidem Haircare 3,2023-04-06,144,39.46,5682.24,635,crítico
LOTE-000179,SKU-HAI-003,haircare,Quidem Haircare 3,2023-08-24,39,38.38,1496.82,495,crítico
LOTE-000180,SKU-HAI-003,haircare,Quidem Haircare 3,2023-03-04,45,39.1,1759.5,668,crítico
LOTE-000181,SKU-HAI-004,haircare,Cupiditate Haircare 4,2023-06-19,189,58.05,10971.45,561,crítico
LOTE-000182,SKU-HAI-004,haircare,Cupiditate Haircare 4,2024-01-20,20,57.74,1154.8,346,alerta
LOTE-000183,SKU-HAI-004,haircare,Cupiditate Haircare 4,2023-07-14,34,60.71,2064.14,536,crítico
LOTE-000184,SKU-HAI-004,haircare,Cupiditate Haircare 4,2023-05-13,121,59.24,7168.04,598,crítico
LOTE-000185,SKU-HAI-005,haircare,Minus Haircare 5,2024-08-18,193,99.93,19286.49,135,normal
LOTE-000186,SKU-HAI-005,haircare,Minus Haircare 5,2024-05-30,271,100.73,27297.83,215,alerta
LOTE-000187,SKU-HAI-006,haircare,Beatae Haircare 6,2023-01-28,106,65.99,6994.94,703,crítico
LOTE-000188,SKU-HAI-006,haircare,Beatae Haircare 6,2023-01-25,251,66.66,16731.66,706,crítico
LOTE-000189,SKU-HAI-006,haircare,Beatae Haircare 6,2023-12-31,98,71.66,7022.68,366,crítico
LOTE-000190,SKU-HAI-007,haircare,Quod Haircare 7,2023-01-21,108,50.33,5435.64,710,crítico
LOTE-000191,SKU-HAI-007,haircare,Quod Haircare 7,2023-11-30,202,49.05,9908.1,397,crítico
LOTE-000192,SKU-HAI-008,haircare,Impedit Haircare 8,2024-08-31,128,53.43,6839.04,122,normal
LOTE-000193,SKU-HAI-008,haircare,Impedit Haircare 8,2023-03-27,281,54.84,15410.04,645,crítico
LOTE-000194,SKU-HAI-008,haircare,Impedit Haircare 8,2024-03-18,23,54.02,1242.46,288,alerta
LOTE-000195,SKU-HAI-008,haircare,Impedit Haircare 8,2024-03-21,102,55.42,5652.84,285,alerta
LOTE-000196,SKU-HAI-008,haircare,Impedit Haircare 8,2023-08-17,79,51.5,4068.5,502,crítico
LOTE-000197,SKU-HAI-009,haircare,Sunt Haircare 9,2023-09-05,289,110.84,32032.76,483,crítico
LOTE-000198,SKU-HAI-009,haircare,Sunt Haircare 9,2024-05-06,164,109.36,17935.04,239,alerta
LOTE-000199,SKU-HAI-009,haircare,Sunt Haircare 9,2023-11-05,138,105.65,14579.7,422,crítico
LOTE-000200,SKU-HAI-009,haircare,Sunt Haircare 9,2024-05-20,145,106.39,15426.55,225,alerta
LOTE-000201,SKU-HAI-010,haircare,Sit Haircare 10,2023-12-25,136,88.0,11968.0,372,crítico
LOTE-000202,SKU-HAI-010,haircare,Sit Haircare 10,2023-12-27,234,83.39,19513.26,370,crítico
