pagamento_id,ano_mes,canal,data_venda_ref,data_liquidacao_gateway,data_liquidacao_erp,valor_bruto,taxa_gateway_pct,taxa_gateway_valor,valor_gateway,valor_erp,divergencia_valor,divergencia_pct,prazo_gateway_dias,prazo_erp_dias,status
PAG-000044,2023-11,marketplace,2023-11-16,2023-11-18,2023-12-16,53001.06,1.99,1054.72,51946.34,51946.34,0.0,0.0,2,30,pendente
PAG-000045,2023-12,ecommerce,2023-12-16,2023-12-18,2023-12-30,89618.43,1.49,1335.31,88283.12,88283.12,0.0,0.0,2,14,liquidado
PAG-000046,2023-12,franquia,2023-12-16,2023-12-16,2024-01-06,33822.38,0.0,0.0,33822.38,33720.91,-101.47,-0.3,0,21,liquidado
PAG-000047,2023-12,loja_propria,2023-12-16,2023-12-17,2023-12-19,22854.18,2.29,523.36,22330.82,22442.47,111.65,0.5,1,3,liquidado
PAG-000048,2023-12,marketplace,2023-12-16,2023-12-18,2024-01-15,50579.8,1.99,1006.54,49573.26,49573.26,0.0,0.0,2,30,liquidado
PAG-000049,2024-01,ecommerce,2024-01-16,2024-01-18,2024-01-30,80628.32,1.49,1201.36,79426.96,79426.96,0.0,0.0,2,14,liquidado
PAG-000050,2024-01,franquia,2024-01-16,2024-01-16,2024-02-06,25328.3,0.0,0.0,25328.3,25328.3,0.0,0.0,0,21,liquidado
PAG-000051,2024-01,loja_propria,2024-01-16,2024-01-17,2024-01-19,21895.76,2.29,501.41,21394.35,21394.35,0.0,0.0,1,3,liquidado
PAG-000052,2024-01,marketplace,2024-01-16,2024-01-18,2024-02-15,47888.07,1.99,952.97,46935.1,47169.78,234.68,0.5,2,30,liquidado
PAG-000053,2024-02,ecommerce,2024-02-16,2024-02-18,2024-03-01,64751.52,1.49,964.8,63786.72,63595.36,-191.36,-0.3,2,14,liquidado
PAG-000054,2024-02,franquia,2024-02-16,2024-02-16,2024-03-08,25685.52,0.0,0.0,25685.52,25608.46,-77.06,-0.3,0,21,pendente
PAG-000055,2024-02,loja_propria,2024-02-16,2024-02-17,2024-02-19,15861.8,2.29,363.24,15498.56,15498.56,0.0,0.0,1,3,liquidado
PAG-000056,2024-02,marketplace,2024-02-16,2024-02-18,2024-03-17,38834.52,1.99,772.81,38061.71,38061.71,0.0,0.0,2,30,liquidado
PAG-000057,2024-03,ecommerce,2024-03-16,2024-03-18,2024-03-30,75741.46,1.49,1128.55,74612.91,74762.14,149.23,0.2,2,14,liquidado
PAG-000058,2024-03,franquia,2024-03-16,2024-03-16,2024-04-06,27169.44,0.0,0.0,27169.44,27169.44,0.0,0.0,0,21,liquidado
PAG-000059,2024-03,loja_propria,2024-03-16,2024-03-17,2024-03-19,24420.41,2.29,559.23,23861.18,23861.18,0.0,0.0,1,3,pendente
PAG-000060,2024-03,marketplace,2024-03-16,2024-03-18,2024-04-15,43522.88,1.99,866.11,42656.77,42656.77,0.0,0.0,2,30,liquidado
PAG-000061,2024-04,ecommerce,2024-04-16,2024-04-18,2024-04-30,71635.7,1.49,1067.37,70568.33,70356.63,-211.7,-0.3,2,14,em_disputa
PAG-000062,2024-04,franquia,2024-04-16,2024-04-16,2024-05-07,21733.99,0.0,0.0,21733.99,21777.46,43.47,0.2,0,21,liquidado
PAG-000063,2024-04,loja_propria,2024-04-16,2024-04-17,2024-04-19,18559.03,2.29,425.0,18134.03,18134.03,0.0,0.0,1,3,liquidado
PAG-000064,2024-04,marketplace,2024-04-16,2024-04-18,2024-05-16,32985.73,1.99,656.42,32329.31,32329.31,0.0,0.0,2,30,liquidado
PAG-000065,2024-05,ecommerce,2024-05-16,2024-05-18,2024-05-30,90831.13,1.49,1353.38,89477.75,89477.75,0.0,0.0,2,14,liquidado
PAG-000066,2024-05,franquia,2024-05-16,2024-05-16,2024-06-06,29433.89,0.0,0.0,29433.89,29433.89,0.0,0.0,0,21,liquidado
PAG-000067,2024-05,loja_propria,2024-05-16,2024-05-17,2024-05-19,28414.11,2.29,650.68,27763.43,27763.43,0.0,0.0,1,3,em_disputa
PAG-000068,2024-05,marketplace,2024-05-16,2024-05-18,2024-06-15,60332.61,1.99,1200.62,59131.99,59427.65,295.66,0.5,2,30,liquidado
PAG-000069,2024-06,ecommerce,2024-06-16,2024-06-18,2024-06-30,84560.62,1.49,1259.95,83300.67,83300.67,0.0,0.0,2,14,liquidado
PAG-000070,2024-06,franquia,2024-06-16,2024-06-16,2024-07-07,30758.8,0.0,0.0,30758.8,30758.8,0.0,0.0,0,21,liquidado
PAG-000071,2024-06,loja_propria,2024-06-16,2024-06-17,2024-06-19,25749.92,2.29,589.67,25160.25,25210.57,50.32,0.2,1,3,liquidado
PAG-000072,2024-06,marketplace,2024-06-16,2024-06-18,2024-07-16,43523.53,1.99,866.12,42657.41,42657.41,0.0,0.0,2,30,liquidado
PAG-000073,2024-07,ecommerce,2024-07-16,2024-07-18,2024-07-30,65380.24,1.49,974.17,64406.07,64406.07,0.0,0.0,2,14,liquidado
PAG-000074,2024-07,franquia,2024-07-16,2024-07-16,2024-08-06,25196.04,0.0,0.0,25196.04,25196.04,0.0,0.0,0,21,liquidado
PAG-000075,2024-07,loja_propria,2024-07-16,2024-07-17,2024-07-19,19827.54,2.29,454.05,19373.49,19315.37,-58.12,-0.3,1,3,liquidado
PAG-000076,2024-07,marketplace,2024-07-16,2024-07-18,2024-08-15,43307.93,1.99,861.83,42446.1,42530.99,84.89,0.2,2,30,liquidado
PAG-000077,2024-08,ecommerce,2024-08-16,2024-08-18,2024-08-30,56661.45,1.49,844.26,55817.19,56096.28,279.09,0.5,2,14,liquidado
PAG-000078,2024-08,franquia,2024-08-16,2024-08-16,2024-09-06,32799.01,0.0,0.0,32799.01,32799.01,0.0,0.0,0,21,liquidado
PAG-000079,2024-08,loja_propria,2024-08-16,2024-08-17,2024-08-19,25710.71,2.29,588.78,25121.93,25247.54,125.61,0.5,1,3,pendente
PAG-000080,2024-08,marketplace,2024-08-16,2024-08-18,2024-09-15,35962.48,1.99,715.65,35246.83,35246.83,0.0,0.0,2,30,liquidado
PAG-000081,2024-09,ecommerce,2024-09-16,2024-09-18,2024-09-30,71681.34,1.49,1068.05,70613.29,70613.29,0.0,0.0,2,14,liquidado
PAG-000082,2024-09,franquia,2024-09-16,2024-09-16,2024-10-07,26737.21,0.0,0.0,26737.21,26737.21,0.0,0.0,0,21,liquidado
PAG-000083,2024-09,loja_propria,2024-09-16,2024-09-17,2024-09-19,17011.85,2.29,389.57,16622.28,16622.28,0.0,0.0,1,3,liquidado
PAG-000084,2024-09,marketplace,2024-09-16,2024-09-18,2024-10-16,40891.79,1.99,813.75,40078.04,40078.04,0.0,0.0,2,30,liquidado
PAG-000085,2024-10,ecommerce,2024-10-16,2024-10-18,2024-10-30,71645.44,1.49,1067.52,70577.92,70577.92,0.0,0.0,2,14,liquidado
PAG-000086,2024-10,franquia,2024-10-16,2024-10-16,2024-11-06,29996.65,0.0,0.0,29996.65,30056.64,59.99,0.2,0,21,liquidado
PAG-000087,2024-10,loja_propria,2024-10-16,2024-10-17,2024-10-19,21812.51,2.29,499.51,21313.0,21313.0,0.0,0.0,1,3,liquidado
PAG-000088,2024-10,marketplace,2024-10-16,2024-10-18,2024-11-15,44867.11,1.99,892.86,43974.25,43974.25,0.0,0.0,2,30,liquidado
PAG-000089,2024-11,ecommerce,2024-11-16,2024-11-18,2024-11-30,107964.65,1.49,1608.67,106355.98,106355.98,0.0,0.0,2,14,liquidado
PAG-000090,2024-11,franquia,2024-11-16,2024-11-16,2024-12-07,39420.37,0.0,0.0,39420.37,39420.37,0.0,0.0,0,21,liquidado
PAG-000091,2024-11,loja_propria,2024-11-16,2024-11-17,2024-11-19,36103.68,2.29,826.77,35276.91,35276.91,0.0,0.0,1,3,liquidado
PAG-000092,2024-11,marketplace,2024-11-16,2024-11-18,2024-12-16,64835.54,1.99,1290.23,63545.31,63545.31,0.0,0.0,2,30,em_disputa
PAG-000093,2024-12,ecommerce,2024-12-16,2024-12-18,2024-12-30,98943.74,1.49,1474.26,97469.48,97956.83,487.35,0.5,2,14,liquidado
PAG-000094,2024-12,franquia,2024-12-16,2024-12-16,2025-01-06,38860.23,0.0,0.0,38860.23,38937.95,77.72,0.2,0,21,liquidado
PAG-000095,2024-12,loja_propria,2024-12-16,2024-12-17,2024-12-19,24172.84,2.29,553.56,23619.28,23619.28,0.0,0.0,1,3,em_disputa
PAG-000096,2024-12,marketplace,2024-12-16,2024-12-18,2025-01-15,53544.75,1.99,1065.54,52479.21,52479.21,0.0,0.0,2,30,liquidado
