lancamento_id,data_competencia,data_pagamento,ano_mes,categoria,centro_custo,descricao,valor,recorrencia,fornecedor,nota_fiscal,aprovado_por
EXP-000060,2023-02-17,2023-02-21,2023-02,outros,varios,Outros — Varios,231.34,mensal,da Cruz,NF-37772,gestão
EXP-000061,2023-03-14,2023-03-29,2023-03,pessoal,administrativo,Pessoal — Administrativo,9568.74,mensal,Jesus,NF-52351,diretoria
EXP-000062,2023-03-24,2023-04-07,2023-03,pessoal,administrativo,Pessoal — Administrativo,8959.38,mensal,Brito Brito e Filhos,NF-63994,gestão
EXP-000063,2023-03-12,2023-03-21,2023-03,pessoal,administrativo,Pessoal — Administrativo,9079.39,mensal,Fogaça,NF-99766,gestão
EXP-000064,2023-03-08,2023-03-22,2023-03,pessoal,comercial,Pessoal — Comercial,6605.69,mensal,Jesus,NF-83009,diretoria
EXP-000065,2023-03-27,2023-04-07,2023-03,pessoal,comercial,Pessoal — Comercial,7072.77,mensal,Siqueira,NF-53790,gestão
EXP-000066,2023-03-15,2023-03-18,2023-03,pessoal,logistica,Pessoal — Logistica,3047.3,mensal,Rocha e Filhos,NF-20559,gestão
EXP-000067,2023-03-20,2023-04-04,2023-03,pessoal,logistica,Pessoal — Logistica,2882.41,mensal,Araújo - ME,NF-27162,diretoria
EXP-000068,2023-03-23,2023-03-26,2023-03,pessoal,logistica,Pessoal — Logistica,2909.07,mensal,Caldeira,NF-79489,gestão
EXP-000069,2023-03-01,2023-03-14,2023-03,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Correia Correia - EI,NF-36085,financeiro
EXP-000070,2023-03-16,2023-03-30,2023-03,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Carvalho,NF-44303,diretoria
EXP-000071,2023-03-23,2023-04-05,2023-03,aluguel,estoque,Aluguel — Estoque,3000.0,mensal,Cirino,NF-68043,gestão
EXP-000072,2023-03-06,2023-03-18,2023-03,marketing,digital,Marketing — Digital,8193.06,mensal,Martins,NF-78012,financeiro
EXP-000073,2023-03-14,2023-03-16,2023-03,marketing,trade,Marketing — Trade,2798.02,mensal,Barbosa Macedo - EI,NF-54137,gestão
EXP-000074,2023-03-20,2023-03-27,2023-03,logistica,frete_saida,Logistica — Frete Saida,2396.31,mensal,Aragão e Filhos,NF-62289,diretoria
EXP-000075,2023-03-02,2023-03-17,2023-03,logistica,frete_saida,Logistica — Frete Saida,2674.29,mensal,Borges S.A.,NF-61354,financeiro
EXP-000076,2023-03-02,2023-03-07,2023-03,logistica,frete_saida,Logistica — Frete Saida,1969.03,mensal,Jesus Mendonça - ME,NF-98129,gestão
EXP-000077,2023-03-27,2023-03-27,2023-03,logistica,armazenagem,Logistica — Armazenagem,2724.44,mensal,Guerra Araújo S.A.,NF-73125,diretoria
EXP-000078,2023-03-19,2023-03-29,2023-03,tecnologia,plataformas,Tecnologia — Plataformas,1456.04,mensal,Abreu,NF-90892,diretoria
EXP-000079,2023-03-06,2023-03-14,2023-03,tecnologia,plataformas,Tecnologia — Plataformas,1452.7,mensal,da Luz,NF-21678,gestão
EXP-000080,2023-03-08,2023-03-12,2023-03,tecnologia,plataformas,Tecnologia — Plataformas,1544.34,mensal,da Paz,NF-46660,diretoria
EXP-000081,2023-03-24,2023-03-27,2023-03,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Sampaio,NF-26908,financeiro
EXP-000082,2023-03-22,2023-03-24,2023-03,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Cassiano,NF-47429,gestão
EXP-000083,2023-03-22,2023-03-24,2023-03,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,da Rocha Cunha S/A,NF-45333,financeiro
EXP-000084,2023-03-26,2023-04-06,2023-03,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,1345.81,mensal,Souza Ltda.,NF-78237,financeiro
EXP-000085,2023-03-25,2023-04-04,2023-03,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Aragão - EI,NF-99805,financeiro
EXP-000086,2023-03-09,2023-03-16,2023-03,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Montenegro,NF-50101,financeiro
EXP-000087,2023-03-05,2023-03-16,2023-03,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Araújo Moraes S/A,NF-17985,financeiro
EXP-000088,2023-03-17,2023-03-29,2023-03,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Azevedo Peixoto S/A,NF-98151,gestão
EXP-000089,2023-03-25,2023-03-29,2023-03,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Guerra Campos - EI,NF-14673,diretoria
EXP-000090,2023-03-02,2023-03-08,2023-03,outros,varios,Outros — Varios,864.81,mensal,Pacheco Peixoto S/A,NF-42924,gestão
EXP-000091,2023-04-12,2023-04-21,2023-04,pessoal,administrativo,Pessoal — Administrativo,27040.34,mensal,Leão e Filhos,NF-91397,gestão
EXP-000092,2023-04-23,2023-04-29,2023-04,pessoal,comercial,Pessoal — Comercial,13412.51,mensal,da Luz,NF-47051,gestão
EXP-000093,2023-04-05,2023-04-12,2023-04,pessoal,logistica,Pessoal — Logistica,4310.24,mensal,Rios Silva Ltda.,NF-56211,financeiro
EXP-000094,2023-04-15,2023-04-16,2023-04,pessoal,logistica,Pessoal — Logistica,4709.74,mensal,da Luz Gonçalves S.A.,NF-64959,financeiro
EXP-000095,2023-04-16,2023-04-18,2023-04,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Marques,NF-46049,gestão
EXP-000096,2023-04-27,2023-05-12,2023-04,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Sá,NF-61915,diretoria
EXP-000097,2023-04-08,2023-04-20,2023-04,aluguel,estoque,Aluguel — Estoque,3000.0,mensal,Albuquerque - ME,NF-90374,financeiro
EXP-000098,2023-04-27,2023-04-28,2023-04,marketing,digital,Marketing — Digital,5395.37,mensal,Barbosa - EI,NF-40743,financeiro
EXP-000099,2023-04-10,2023-04-15,2023-04,marketing,digital,Marketing — Digital,4317.71,mensal,Montenegro da Luz S.A.,NF-33879,financeiro
EXP-000100,2023-04-03,2023-04-17,2023-04,marketing,trade,Marketing — Trade,1456.09,mensal,Azevedo,NF-95737,diretoria
EXP-000101,2023-04-19,2023-04-23,2023-04,marketing,trade,Marketing — Trade,1201.52,mensal,Freitas da Paz S.A.,NF-20456,gestão
EXP-000102,2023-04-15,2023-04-16,2023-04,logistica,frete_saida,Logistica — Frete Saida,7567.05,mensal,Nogueira,NF-14721,diretoria
EXP-000103,2023-04-10,2023-04-20,2023-04,logistica,armazenagem,Logistica — Armazenagem,3291.07,mensal,Pimenta,NF-91482,diretoria
EXP-000104,2023-04-20,2023-04-20,2023-04,tecnologia,plataformas,Tecnologia — Plataformas,4388.75,mensal,Rios - EI,NF-22397,financeiro
EXP-000105,2023-04-28,2023-05-01,2023-04,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,Ribeiro,NF-73097,financeiro
EXP-000106,2023-04-27,2023-04-28,2023-04,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,Carvalho Ltda.,NF-83797,gestão
EXP-000107,2023-04-10,2023-04-10,2023-04,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,438.94,mensal,Caldeira e Filhos,NF-30502,diretoria
EXP-000108,2023-04-25,2023-04-26,2023-04,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,433.79,mensal,da Mata da Paz - EI,NF-94279,gestão
EXP-000109,2023-04-09,2023-04-15,2023-04,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,425.37,mensal,Silva Fernandes S.A.,NF-21914,diretoria
EXP-000110,2023-04-03,2023-04-18,2023-04,administrativo,juridico,Administrativo — Juridico,2057.29,trimestral,Montenegro,NF-26080,diretoria
EXP-000111,2023-04-27,2023-05-10,2023-04,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,da Cunha,NF-33993,diretoria
EXP-000112,2023-04-21,2023-05-03,2023-04,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,Borges e Filhos,NF-21858,diretoria
EXP-000113,2023-04-14,2023-04-21,2023-04,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,da Mota,NF-65410,gestão
EXP-000114,2023-04-13,2023-04-21,2023-04,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Abreu Ltda.,NF-97703,diretoria
EXP-000115,2023-04-21,2023-05-01,2023-04,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Porto da Luz S.A.,NF-94832,financeiro
EXP-000116,2023-04-10,2023-04-20,2023-04,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Novaes,NF-59239,gestão
EXP-000117,2023-04-01,2023-04-14,2023-04,outros,varios,Outros — Varios,368.23,mensal,Novais,NF-30973,gestão
EXP-000118,2023-04-12,2023-04-19,2023-04,outros,varios,Outros — Varios,320.32,mensal,Camargo S/A,NF-60615,gestão
EXP-000119,2023-05-24,2023-06-08,2023-05,pessoal,administrativo,Pessoal — Administrativo,9407.53,mensal,Nogueira Andrade Ltda.,NF-50556,gestão
EXP-000120,2023-05-06,2023-05-08,2023-05,pessoal,administrativo,Pessoal — Administrativo,9755.49,mensal,Lopes Cardoso S/A,NF-79283,diretoria
EXP-000121,2023-05-03,2023-05-05,2023-05,pessoal,administrativo,Pessoal — Administrativo,9484.43,mensal,Fonseca,NF-36435,gestão
EXP-000122,2023-05-08,2023-05-19,2023-05,pessoal,comercial,Pessoal — Comercial,7417.3,mensal,Fogaça S.A.,NF-47869,financeiro
EXP-000123,2023-05-04,2023-05-11,2023-05,pessoal,comercial,Pessoal — Comercial,6972.56,mensal,Rios Caldeira Ltda.,NF-41933,financeiro
EXP-000124,2023-05-23,2023-05-27,2023-05,pessoal,logistica,Pessoal — Logistica,8947.57,mensal,Pinto,NF-74101,gestão
EXP-000125,2023-05-14,2023-05-23,2023-05,aluguel,operacional,Aluguel — Operacional,6500.0,mensal,da Costa Castro S.A.,NF-51945,diretoria
EXP-000126,2023-05-17,2023-05-23,2023-05,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Alves,NF-84864,gestão
EXP-000127,2023-05-21,2023-05-21,2023-05,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Sousa Farias - ME,NF-46583,gestão
EXP-000128,2023-05-20,2023-05-22,2023-05,marketing,digital,Marketing — Digital,5650.18,mensal,da Mata Castro e Filhos,NF-12372,financeiro
EXP-000129,2023-05-02,2023-05-08,2023-05,marketing,digital,Marketing — Digital,7166.81,mensal,Garcia S/A,NF-39582,diretoria
EXP-000130,2023-05-20,2023-05-23,2023-05,marketing,trade,Marketing — Trade,1482.55,mensal,Câmara,NF-63035,financeiro
EXP-000131,2023-05-17,2023-05-27,2023-05,marketing,trade,Marketing — Trade,1116.79,mensal,Marques Ferreira Ltda.,NF-10193,financeiro
EXP-000132,2023-05-20,2023-06-03,2023-05,marketing,trade,Marketing — Trade,1686.21,mensal,Câmara Alves e Filhos,NF-62265,diretoria
EXP-000133,2023-05-25,2023-06-07,2023-05,logistica,frete_saida,Logistica — Frete Saida,6608.58,mensal,Guerra Farias Ltda.,NF-43735,diretoria
EXP-000134,2023-05-20,2023-05-26,2023-05,logistica,armazenagem,Logistica — Armazenagem,3258.34,mensal,Vargas Ltda.,NF-13902,gestão
EXP-000135,2023-05-16,2023-05-30,2023-05,tecnologia,plataformas,Tecnologia — Plataformas,2235.52,mensal,Ramos,NF-65794,gestão
EXP-000136,2023-05-21,2023-05-23,2023-05,tecnologia,plataformas,Tecnologia — Plataformas,2154.78,mensal,Rocha,NF-48140,financeiro
EXP-000137,2023-05-19,2023-05-23,2023-05,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,Alves,NF-61353,financeiro
EXP-000138,2023-05-02,2023-05-13,2023-05,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,da Luz S.A.,NF-47252,financeiro
EXP-000139,2023-05-14,2023-05-20,2023-05,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,455.82,mensal,Andrade,NF-55566,diretoria
EXP-000140,2023-05-09,2023-05-10,2023-05,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,453.9,mensal,Peixoto - ME,NF-83071,gestão
EXP-000141,2023-05-28,2023-06-07,2023-05,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,443.31,mensal,Siqueira,NF-24008,diretoria
EXP-000142,2023-05-10,2023-05-12,2023-05,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Lopes,NF-41916,gestão
EXP-000143,2023-05-18,2023-05-22,2023-05,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Gomes - EI,NF-51417,gestão
EXP-000144,2023-05-06,2023-05-13,2023-05,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,da Cunha Aparecida e Filhos,NF-96652,diretoria
EXP-000145,2023-05-11,2023-05-15,2023-05,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Abreu,NF-61431,financeiro
EXP-000146,2023-05-15,2023-05-21,2023-05,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Fonseca Lopes S/A,NF-42155,gestão
EXP-000147,2023-05-28,2023-06-09,2023-05,outros,varios,Outros — Varios,773.72,mensal,Pinto,NF-23120,diretoria
EXP-000148,2023-06-20,2023-06-21,2023-06,pessoal,administrativo,Pessoal — Administrativo,14244.27,mensal,Ribeiro,NF-47019,financeiro
EXP-000149,2023-06-18,2023-06-20,2023-06,pessoal,administrativo,Pessoal — Administrativo,13325.02,mensal,Silveira Ltda.,NF-16938,financeiro
EXP-000150,2023-06-07,2023-06-10,2023-06,pessoal,comercial,Pessoal — Comercial,6602.16,mensal,Rios,NF-10349,diretoria
EXP-000151,2023-06-20,2023-07-01,2023-06,pessoal,comercial,Pessoal — Comercial,6993.96,mensal,Duarte,NF-13662,diretoria
EXP-000152,2023-06-04,2023-06-12,2023-06,pessoal,logistica,Pessoal — Logistica,4707.59,mensal,Sampaio,NF-10619,gestão
EXP-000153,2023-06-09,2023-06-22,2023-06,pessoal,logistica,Pessoal — Logistica,4709.85,mensal,Novaes,NF-76328,diretoria
EXP-000154,2023-06-28,2023-07-11,2023-06,aluguel,operacional,Aluguel — Operacional,6500.0,mensal,Correia Leão e Filhos,NF-88136,financeiro
EXP-000155,2023-06-26,2023-07-03,2023-06,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Rocha,NF-39539,gestão
EXP-000156,2023-06-05,2023-06-08,2023-06,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Pimenta Nunes Ltda.,NF-17456,gestão
EXP-000157,2023-06-02,2023-06-03,2023-06,marketing,digital,Marketing — Digital,13591.49,mensal,Novaes,NF-91419,financeiro
EXP-000158,2023-06-09,2023-06-13,2023-06,marketing,trade,Marketing — Trade,4136.3,mensal,da Rosa Ltda.,NF-25336,gestão
EXP-000159,2023-06-18,2023-06-29,2023-06,logistica,frete_saida,Logistica — Frete Saida,3429.47,mensal,Lopes Viana - EI,NF-12975,gestão
EXP-000160,2023-06-17,2023-06-25,2023-06,logistica,frete_saida,Logistica — Frete Saida,2903.52,mensal,Martins,NF-70664,gestão
EXP-000161,2023-06-20,2023-06-27,2023-06,logistica,armazenagem,Logistica — Armazenagem,3092.94,mensal,Macedo,NF-98041,diretoria
EXP-000162,2023-06-13,2023-06-13,2023-06,tecnologia,plataformas,Tecnologia — Plataformas,2273.14,mensal,Moraes Melo e Filhos,NF-92419,diretoria
EXP-000163,2023-06-21,2023-06-24,2023-06,tecnologia,plataformas,Tecnologia — Plataformas,2227.29,mensal,Ribeiro Barros Ltda.,NF-11831,gestão
EXP-000164,2023-06-02,2023-06-09,2023-06,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,Borges,NF-40666,gestão
EXP-000165,2023-06-24,2023-06-28,2023-06,tecnologia,erp_gateway,Tecnologia — Erp Gateway,1100.0,mensal,Rocha das Neves S.A.,NF-29350,gestão
EXP-000166,2023-06-18,2023-06-23,2023-06,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,1278.47,mensal,Casa Grande Alves S/A,NF-33948,financeiro
EXP-000167,2023-06-11,2023-06-21,2023-06,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Melo Pimenta S/A,NF-99015,diretoria
EXP-000168,2023-06-05,2023-06-19,2023-06,administrativo,contabilidade,Administrativo — Contabilidade,1250.0,mensal,Leão,NF-14867,diretoria
EXP-000169,2023-06-05,2023-06-15,2023-06,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Silva Sampaio - ME,NF-13687,gestão
EXP-000170,2023-06-03,2023-06-17,2023-06,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Guerra,NF-29875,financeiro
EXP-000171,2023-06-14,2023-06-26,2023-06,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Casa Grande Rezende e Filhos,NF-57179,diretoria
EXP-000172,2023-06-13,2023-06-28,2023-06,outros,varios,Outros — Varios,423.99,mensal,Sá S/A,NF-70974,gestão
EXP-000173,2023-06-26,2023-07-11,2023-06,outros,varios,Outros — Varios,346.83,mensal,Câmara,NF-26098,financeiro
EXP-000174,2023-07-17,2023-07-25,2023-07,pessoal,administrativo,Pessoal — Administrativo,29034.97,mensal,Sampaio Moreira - ME,NF-75882,financeiro
EXP-000175,2023-07-16,2023-07-20,2023-07,pessoal,comercial,Pessoal — Comercial,4488.84,mensal,Novais S.A.,NF-10198,financeiro
EXP-000176,2023-07-13,2023-07-26,2023-07,pessoal,comercial,Pessoal — Comercial,4712.75,mensal,Marques S.A.,NF-37882,financeiro
EXP-000177,2023-07-20,2023-07-30,2023-07,pessoal,comercial,Pessoal — Comercial,4815.46,mensal,Rios,NF-66012,gestão
EXP-000178,2023-07-18,2023-07-30,2023-07,pessoal,logistica,Pessoal — Logistica,2927.85,mensal,Sá,NF-56371,diretoria
EXP-000179,2023-07-10,2023-07-17,2023-07,pessoal,logistica,Pessoal — Logistica,3062.35,mensal,Pimenta,NF-62521,diretoria
EXP-000180,2023-07-28,2023-07-28,2023-07,pessoal,logistica,Pessoal — Logistica,2840.77,mensal,Novaes,NF-66562,gestão
EXP-000181,2023-07-19,2023-08-03,2023-07,aluguel,operacional,Aluguel — Operacional,6500.0,mensal,Castro,NF-56927,financeiro
EXP-000182,2023-07-07,2023-07-09,2023-07,aluguel,estoque,Aluguel — Estoque,3000.0,mensal,Machado,NF-49162,gestão
EXP-000183,2023-07-09,2023-07-15,2023-07,marketing,digital,Marketing — Digital,7050.92,mensal,Sá,NF-83182,gestão
