transacao_id,data,ano_mes,canal,sku_id,categoria,quantidade,preco_unitario,receita_bruta,desconto_pct,valor_devolucao,devolvido,comissao_pct,comissao_valor,receita_liquida,tipo_compra
TXN-0000015,2023-01-02,2023-01,ecommerce,SKU-PER-001,perfumes,1,381.67,381.67,0.0,0.0,False,3.87,14.76,366.91,recorrente
TXN-0000016,2023-01-07,2023-01,ecommerce,SKU-SKI-011,skincare,3,228.15,684.45,5.0,0.0,False,4.46,30.53,653.92,pontual
TXN-0000017,2023-01-16,2023-01,franquia,SKU-SKI-008,skincare,1,147.27,147.27,0.0,0.0,False,12.3,18.11,129.16,pontual
TXN-0000018,2023-01-08,2023-01,marketplace,SKU-SKI-006,skincare,2,112.45,224.9,0.0,0.0,False,17.29,38.88,186.02,pontual
TXN-0000019,2023-01-19,2023-01,franquia,SKU-MAQ-006,maquiagem,1,119.32,119.32,0.0,100.69,True,11.19,13.35,5.28,pontual
TXN-0000020,2023-01-02,2023-01,marketplace,SKU-SKI-006,skincare,3,112.45,337.35,0.0,0.0,False,17.94,60.5,276.85,recorrente
TXN-0000021,2023-01-20,2023-01,ecommerce,SKU-PER-011,perfumes,1,167.29,167.29,10.0,0.0,False,4.86,8.13,159.16,pontual
TXN-0000022,2023-01-18,2023-01,loja_propria,SKU-MAQ-010,maquiagem,3,67.09,201.27,0.0,0.0,False,-0.89,-1.8,203.07,recorrente
TXN-0000023,2023-01-18,2023-01,franquia,SKU-PER-001,perfumes,2,381.67,763.34,0.0,0.0,False,11.66,88.99,674.35,pontual
TXN-0000024,2023-01-06,2023-01,ecommerce,SKU-SKI-001,skincare,1,179.46,179.46,5.0,0.0,False,4.73,8.5,170.96,pontual
TXN-0000025,2023-01-17,2023-01,franquia,SKU-SKI-016,skincare,2,203.35,406.7,15.0,0.0,False,12.82,52.12,354.58,pontual
TXN-0000026,2023-01-27,2023-01,ecommerce,SKU-PER-008,perfumes,2,243.29,486.58,0.0,0.0,False,3.02,14.71,471.87,pontual
TXN-0000027,2023-01-18,2023-01,ecommerce,SKU-PER-006,perfumes,4,408.93,1635.72,0.0,0.0,False,4.74,77.49,1558.23,pontual
TXN-0000028,2023-01-16,2023-01,loja_propria,SKU-MAQ-001,maquiagem,1,135.0,135.0,0.0,0.0,False,-0.57,-0.76,135.76,pontual
TXN-0000029,2023-01-10,2023-01,franquia,SKU-HAI-009,haircare,1,205.88,205.88,0.0,0.0,False,11.21,23.09,182.79,recorrente
TXN-0000030,2023-01-24,2023-01,marketplace,SKU-SKI-014,skincare,1,136.02,136.02,10.0,0.0,False,16.33,22.21,113.81,recorrente
TXN-0000031,2023-01-05,2023-01,franquia,SKU-PER-008,perfumes,2,243.29,486.58,0.0,0.0,False,11.82,57.53,429.05,pontual
TXN-0000032,2023-01-20,2023-01,ecommerce,SKU-MAQ-008,maquiagem,1,164.1,164.1,0.0,0.0,False,3.03,4.97,159.13,recorrente
TXN-0000033,2023-01-07,2023-01,marketplace,SKU-PER-013,perfumes,2,343.16,686.32,10.0,0.0,False,16.9,116.0,570.32,pontual
TXN-0000034,2023-01-17,2023-01,marketplace,SKU-MAQ-010,maquiagem,1,60.38,60.38,10.0,0.0,False,17.7,10.69,49.69,recorrente
TXN-0000035,2023-01-18,2023-01,ecommerce,SKU-SKI-001,skincare,1,188.9,188.9,0.0,0.0,False,4.45,8.41,180.49,recorrente
TXN-0000036,2023-01-08,2023-01,ecommerce,SKU-PER-004,perfumes,1,343.24,343.24,10.0,0.0,False,3.13,10.75,332.49,recorrente
TXN-0000037,2023-01-09,2023-01,ecommerce,SKU-MAQ-012,maquiagem,2,86.11,172.22,15.0,0.0,False,4.95,8.52,163.7,recorrente
TXN-0000038,2023-01-19,2023-01,ecommerce,SKU-HAI-008,haircare,2,113.72,227.44,0.0,0.0,False,4.07,9.25,218.19,recorrente
TXN-0000039,2023-01-04,2023-01,marketplace,SKU-MAQ-013,maquiagem,1,151.48,151.48,0.0,0.0,False,17.5,26.5,124.98,pontual
TXN-0000040,2023-01-24,2023-01,marketplace,SKU-MAQ-011,maquiagem,1,59.05,59.05,5.0,0.0,False,17.5,10.33,48.72,pontual
TXN-0000041,2023-01-24,2023-01,marketplace,SKU-SKI-004,skincare,1,120.55,120.55,0.0,0.0,False,16.71,20.14,100.41,pontual
TXN-0000042,2023-01-15,2023-01,ecommerce,SKU-SKI-019,skincare,1,173.8,173.8,0.0,0.0,False,4.21,7.32,166.48,recorrente
TXN-0000043,2023-01-03,2023-01,marketplace,SKU-HAI-010,haircare,1,163.21,163.21,0.0,0.0,False,17.79,29.04,134.17,pontual
TXN-0000044,2023-01-18,2023-01,marketplace,SKU-SKI-017,skincare,3,122.05,366.15,0.0,0.0,False,16.56,60.63,305.52,pontual
TXN-0000045,2023-01-06,2023-01,loja_propria,SKU-HAI-010,haircare,1,163.21,163.21,0.0,0.0,False,0.22,0.36,162.85,pontual
TXN-0000046,2023-01-06,2023-01,franquia,SKU-HAI-002,haircare,1,75.66,75.66,0.0,0.0,False,12.1,9.15,66.51,pontual
TXN-0000047,2023-01-15,2023-01,ecommerce,SKU-PER-009,perfumes,1,368.88,368.88,0.0,0.0,False,4.59,16.93,351.95,pontual
TXN-0000048,2023-01-22,2023-01,franquia,SKU-PER-006,perfumes,2,388.48,776.96,5.0,0.0,False,12.68,98.55,678.41,recorrente
TXN-0000049,2023-01-19,2023-01,ecommerce,SKU-HAI-002,haircare,2,75.66,151.32,0.0,0.0,False,4.82,7.29,144.03,recorrente
TXN-0000050,2023-01-16,2023-01,ecommerce,SKU-SKI-019,skincare,1,173.8,173.8,0.0,0.0,False,3.86,6.71,167.09,pontual
TXN-0000051,2023-01-03,2023-01,ecommerce,SKU-HAI-008,haircare,3,113.72,341.16,0.0,0.0,False,4.5,15.37,325.79,recorrente
TXN-0000052,2023-01-13,2023-01,ecommerce,SKU-HAI-009,haircare,1,185.29,185.29,10.0,0.0,False,4.07,7.55,177.74,pontual
TXN-0000053,2023-01-20,2023-01,ecommerce,SKU-MAQ-003,maquiagem,1,57.87,57.87,5.0,0.0,False,4.09,2.36,55.51,pontual
TXN-0000054,2023-01-09,2023-01,marketplace,SKU-SKI-018,skincare,1,316.58,316.58,0.0,0.0,False,17.58,55.66,260.92,pontual
TXN-0000055,2023-01-22,2023-01,ecommerce,SKU-MAQ-004,maquiagem,2,86.5,173.0,0.0,0.0,False,3.33,5.76,167.24,pontual
TXN-0000056,2023-01-01,2023-01,loja_propria,SKU-HAI-002,haircare,1,75.66,75.66,0.0,0.0,False,-0.59,-0.45,76.11,pontual
TXN-0000057,2023-01-07,2023-01,loja_propria,SKU-SKI-012,skincare,1,153.99,153.99,10.0,0.0,False,-0.56,-0.86,154.85,recorrente
TXN-0000058,2023-01-08,2023-01,ecommerce,SKU-SKI-012,skincare,1,171.1,171.1,0.0,0.0,False,3.41,5.83,165.27,recorrente
TXN-0000059,2023-01-20,2023-01,franquia,SKU-PER-011,perfumes,5,185.88,929.4,0.0,0.0,False,12.53,116.46,812.94,pontual
TXN-0000060,2023-01-18,2023-01,marketplace,SKU-PER-012,perfumes,1,340.42,340.42,10.0,0.0,False,17.68,60.18,280.24,pontual
TXN-0000061,2023-01-04,2023-01,loja_propria,SKU-SKI-004,skincare,3,120.55,361.65,0.0,0.0,False,-0.51,-1.86,363.51,pontual
TXN-0000062,2023-01-07,2023-01,ecommerce,SKU-SKI-008,skincare,2,147.27,294.54,0.0,0.0,False,4.79,14.09,280.45,recorrente
TXN-0000063,2023-01-16,2023-01,marketplace,SKU-SKI-013,skincare,1,206.51,206.51,0.0,0.0,False,17.56,36.26,170.25,pontual
TXN-0000064,2023-01-27,2023-01,ecommerce,SKU-PER-012,perfumes,1,378.24,378.24,0.0,0.0,False,4.29,16.23,362.01,recorrente
TXN-0000065,2023-01-09,2023-01,franquia,SKU-PER-009,perfumes,1,368.88,368.88,0.0,0.0,False,12.11,44.67,324.21,pontual
TXN-0000066,2023-01-04,2023-01,franquia,SKU-MAQ-016,maquiagem,1,62.22,62.22,5.0,0.0,False,12.15,7.56,54.66,pontual
TXN-0000067,2023-01-27,2023-01,loja_propria,SKU-MAQ-013,maquiagem,1,136.33,136.33,10.0,0.0,False,0.83,1.13,135.2,pontual
TXN-0000068,2023-01-12,2023-01,marketplace,SKU-SKI-009,skincare,3,173.72,521.16,0.0,0.0,False,17.19,89.61,431.55,pontual
TXN-0000069,2023-01-07,2023-01,franquia,SKU-HAI-007,haircare,2,104.95,209.9,0.0,0.0,False,11.87,24.91,184.99,pontual
TXN-0000070,2023-01-28,2023-01,ecommerce,SKU-MAQ-009,maquiagem,1,125.16,125.16,0.0,0.0,False,3.89,4.87,120.29,pontual
TXN-0000071,2023-01-28,2023-01,ecommerce,SKU-HAI-004,haircare,1,111.41,111.41,5.0,0.0,False,4.81,5.36,106.05,pontual
TXN-0000072,2023-01-06,2023-01,ecommerce,SKU-MAQ-003,maquiagem,2,60.92,121.84,0.0,0.0,False,3.59,4.38,117.46,pontual
TXN-0000073,2023-01-28,2023-01,loja_propria,SKU-PER-001,perfumes,2,362.59,725.18,5.0,0.0,False,-0.27,-1.96,727.14,recorrente
TXN-0000074,2023-01-13,2023-01,ecommerce,SKU-PER-008,perfumes,3,243.29,729.87,0.0,0.0,False,4.77,34.83,695.04,pontual
TXN-0000075,2023-01-15,2023-01,ecommerce,SKU-PER-013,perfumes,1,381.29,381.29,0.0,0.0,False,3.14,11.97,369.32,pontual
TXN-0000076,2023-01-22,2023-01,franquia,SKU-SKI-011,skincare,1,240.16,240.16,0.0,0.0,False,12.43,29.85,210.31,pontual
TXN-0000077,2023-01-09,2023-01,franquia,SKU-HAI-002,haircare,1,71.88,71.88,5.0,0.0,False,12.9,9.27,62.61,pontual
TXN-0000078,2023-01-11,2023-01,marketplace,SKU-HAI-010,haircare,4,163.21,652.84,0.0,0.0,False,16.46,107.48,545.36,recorrente
TXN-0000079,2023-01-09,2023-01,loja_propria,SKU-SKI-004,skincare,1,102.47,102.47,15.0,0.0,False,0.99,1.01,101.46,pontual
TXN-0000080,2023-01-14,2023-01,ecommerce,SKU-PER-007,perfumes,2,236.81,473.62,5.0,0.0,False,3.07,14.54,459.08,pontual
TXN-0000081,2023-01-09,2023-01,ecommerce,SKU-MAQ-007,maquiagem,1,150.78,150.78,10.0,0.0,False,4.31,6.5,144.28,pontual
TXN-0000082,2023-01-22,2023-01,marketplace,SKU-PER-009,perfumes,2,368.88,737.76,0.0,0.0,False,17.37,128.12,609.64,pontual
TXN-0000083,2023-01-03,2023-01,marketplace,SKU-MAQ-006,maquiagem,4,119.32,477.28,0.0,0.0,False,16.49,78.71,398.57,pontual
TXN-0000084,2023-01-04,2023-01,marketplace,SKU-PER-008,perfumes,2,194.63,389.26,20.0,0.0,False,17.76,69.13,320.13,pontual
TXN-0000085,2023-01-13,2023-01,ecommerce,SKU-MAQ-001,maquiagem,2,135.0,270.0,0.0,0.0,False,4.12,11.12,258.88,pontual
TXN-0000086,2023-01-13,2023-01,ecommerce,SKU-PER-011,perfumes,2,185.88,371.76,0.0,0.0,False,4.51,16.76,355.0,pontual
TXN-0000087,2023-01-18,2023-01,marketplace,SKU-SKI-009,skincare,3,165.03,495.09,5.0,0.0,False,17.3,85.63,409.46,pontual
TXN-0000088,2023-01-20,2023-01,ecommerce,SKU-PER-010,perfumes,2,416.16,832.32,0.0,0.0,False,4.89,40.69,791.63,pontual
TXN-0000089,2023-01-16,2023-01,marketplace,SKU-SKI-017,skincare,2,122.05,244.1,0.0,0.0,False,17.82,43.5,200.6,pontual
TXN-0000090,2023-01-10,2023-01,franquia,SKU-PER-012,perfumes,1,359.33,359.33,5.0,0.0,False,11.4,40.97,318.36,pontual
TXN-0000091,2023-01-25,2023-01,ecommerce,SKU-PER-003,perfumes,1,325.85,325.85,10.0,0.0,False,4.52,14.74,311.11,pontual
TXN-0000092,2023-01-02,2023-01,franquia,SKU-SKI-008,skincare,1,147.27,147.27,0.0,0.0,False,11.3,16.64,130.63,pontual
TXN-0000093,2023-01-14,2023-01,franquia,SKU-SKI-002,skincare,3,266.11,798.33,0.0,0.0,False,11.04,88.11,710.22,pontual
TXN-0000094,2023-01-13,2023-01,franquia,SKU-MAQ-015,maquiagem,1,73.07,73.07,0.0,0.0,False,11.72,8.56,64.51,pontual
TXN-0000095,2023-01-25,2023-01,ecommerce,SKU-PER-011,perfumes,3,176.59,529.77,5.0,0.0,False,4.87,25.81,503.96,pontual
TXN-0000096,2023-01-23,2023-01,ecommerce,SKU-PER-005,perfumes,1,257.54,257.54,0.0,0.0,False,4.11,10.57,246.97,recorrente
TXN-0000097,2023-01-15,2023-01,ecommerce,SKU-HAI-005,haircare,1,202.69,202.69,0.0,0.0,False,3.49,7.08,195.61,pontual
TXN-0000098,2023-01-11,2023-01,marketplace,SKU-MAQ-001,maquiagem,4,128.25,513.0,5.0,0.0,False,17.99,92.3,420.7,pontual
TXN-0000099,2023-01-17,2023-01,marketplace,SKU-PER-004,perfumes,1,305.1,305.1,20.0,0.0,False,17.69,53.98,251.12,pontual
TXN-0000100,2023-01-28,2023-01,marketplace,SKU-SKI-010,skincare,1,171.1,171.1,15.0,0.0,False,16.55,28.32,142.78,recorrente
TXN-0000101,2023-01-25,2023-01,ecommerce,SKU-PER-007,perfumes,2,236.81,473.62,5.0,0.0,False,4.03,19.06,454.56,pontual
TXN-0000102,2023-01-23,2023-01,ecommerce,SKU-MAQ-011,maquiagem,1,62.16,62.16,0.0,0.0,False,3.02,1.88,60.28,recorrente
TXN-0000103,2023-01-05,2023-01,ecommerce,SKU-MAQ-009,maquiagem,1,125.16,125.16,0.0,0.0,False,4.23,5.3,119.86,pontual
TXN-0000104,2023-01-14,2023-01,ecommerce,SKU-SKI-013,skincare,1,206.51,206.51,0.0,0.0,False,4.06,8.39,198.12,pontual
TXN-0000105,2023-01-14,2023-01,ecommerce,SKU-SKI-008,skincare,1,139.91,139.91,5.0,0.0,False,3.91,5.47,134.44,pontual
TXN-0000106,2023-01-25,2023-01,loja_propria,SKU-SKI-017,skincare,2,122.05,244.1,0.0,0.0,False,-0.49,-1.19,245.29,pontual
TXN-0000107,2023-01-13,2023-01,loja_propria,SKU-SKI-016,skincare,3,203.35,610.05,15.0,0.0,False,0.33,2.04,608.01,pontual
TXN-0000108,2023-01-18,2023-01,ecommerce,SKU-PER-012,perfumes,2,378.24,756.48,0.0,0.0,False,3.22,24.35,732.13,pontual
TXN-0000109,2023-01-16,2023-01,marketplace,SKU-SKI-010,skincare,1,191.24,191.24,5.0,0.0,False,17.26,33.01,158.23,pontual
TXN-0000110,2023-01-06,2023-01,marketplace,SKU-MAQ-006,maquiagem,3,113.35,340.05,5.0,0.0,False,17.24,58.62,281.43,pontual
TXN-0000111,2023-01-13,2023-01,loja_propria,SKU-MAQ-016,maquiagem,2,65.5,131.0,0.0,0.0,False,-0.05,-0.06,131.06,pontual
TXN-0000112,2023-01-28,2023-01,ecommerce,SKU-MAQ-014,maquiagem,1,75.68,75.68,15.0,0.0,False,4.87,3.68,72.0,recorrente
TXN-0000113,2023-01-11,2023-01,ecommerce,SKU-SKI-012,skincare,1,171.1,171.1,0.0,0.0,False,4.72,8.07,163.03,pontual
TXN-0000114,2023-01-14,2023-01,ecommerce,SKU-HAI-003,haircare,1,68.88,68.88,10.0,0.0,False,4.05,2.79,66.09,recorrente
TXN-0000115,2023-01-12,2023-01,ecommerce,SKU-MAQ-010,maquiagem,1,67.09,67.09,0.0,0.0,False,4.8,3.22,63.87,recorrente
TXN-0000116,2023-01-01,2023-01,loja_propria,SKU-SKI-006,skincare,4,112.45,449.8,0.0,0.0,False,0.74,3.32,446.48,recorrente
TXN-0000117,2023-01-05,2023-01,ecommerce,SKU-SKI-014,skincare,1,151.13,151.13,0.0,0.0,False,4.35,6.58,144.55,recorrente
TXN-0000118,2023-01-09,2023-01,loja_propria,SKU-MAQ-011,maquiagem,2,52.84,105.68,15.0,0.0,False,-0.47,-0.5,106.18,recorrente
TXN-0000119,2023-01-04,2023-01,marketplace,SKU-PER-002,perfumes,2,136.49,272.98,10.0,0.0,False,16.14,44.06,228.92,recorrente
TXN-0000120,2023-01-10,2023-01,ecommerce,SKU-MAQ-001,maquiagem,2,108.0,216.0,20.0,0.0,False,4.12,8.89,207.11,pontual
TXN-0000121,2023-01-07,2023-01,ecommerce,SKU-HAI-005,haircare,1,192.56,192.56,5.0,0.0,False,3.34,6.43,186.13,pontual
TXN-0000122,2023-01-25,2023-01,marketplace,SKU-SKI-019,skincare,1,173.8,173.8,0.0,0.0,False,16.18,28.12,145.68,pontual
TXN-0000123,2023-01-19,2023-01,franquia,SKU-PER-013,perfumes,2,381.29,762.58,0.0,0.0,False,11.69,89.17,673.41,pontual
TXN-0000124,2023-01-17,2023-01,marketplace,SKU-MAQ-015,maquiagem,2,58.46,116.92,20.0,0.0,False,16.42,19.19,97.73,recorrente
TXN-0000125,2023-01-14,2023-01,marketplace,SKU-MAQ-012,maquiagem,4,101.31,405.24,0.0,0.0,False,16.69,67.64,337.6,pontual
TXN-0000126,2023-01-14,2023-01,franquia,SKU-PER-007,perfumes,1,249.27,249.27,0.0,0.0,False,12.66,31.55,217.72,pontual
TXN-0000127,2023-01-18,2023-01,marketplace,SKU-PER-011,perfumes,2,185.88,371.76,0.0,0.0,False,16.16,60.08,311.68,pontual
TXN-0000128,2023-01-11,2023-01,franquia,SKU-MAQ-001,maquiagem,3,135.0,405.0,0.0,0.0,False,12.51,50.66,354.34,pontual
TXN-0000129,2023-01-08,2023-01,ecommerce,SKU-HAI-005,haircare,2,202.69,405.38,0.0,0.0,False,4.38,17.77,387.61,pontual
TXN-0000130,2023-01-16,2023-01,marketplace,SKU-MAQ-003,maquiagem,3,57.87,173.61,5.0,0.0,False,16.81,29.18,144.43,recorrente
TXN-0000131,2023-01-11,2023-01,ecommerce,SKU-PER-001,perfumes,1,381.67,381.67,0.0,0.0,False,4.58,17.48,364.19,pontual
TXN-0000132,2023-01-17,2023-01,loja_propria,SKU-MAQ-011,maquiagem,4,55.94,223.76,10.0,0.0,False,-0.02,-0.05,223.81,recorrente
TXN-0000133,2023-01-25,2023-01,franquia,SKU-MAQ-015,maquiagem,1,65.76,65.76,10.0,0.0,False,12.72,8.36,57.4,pontual
TXN-0000134,2023-01-01,2023-01,franquia,SKU-MAQ-015,maquiagem,1,65.76,65.76,10.0,55.52,True,12.8,8.42,1.82,pontual
TXN-0000135,2023-01-16,2023-01,ecommerce,SKU-MAQ-015,maquiagem,2,73.07,146.14,0.0,0.0,False,3.89,5.68,140.46,pontual
TXN-0000136,2023-01-12,2023-01,loja_propria,SKU-MAQ-012,maquiagem,2,101.31,202.62,0.0,0.0,False,-0.3,-0.61,203.23,recorrente
TXN-0000137,2023-01-07,2023-01,ecommerce,SKU-SKI-004,skincare,1,120.55,120.55,0.0,0.0,False,4.55,5.48,115.07,pontual
TXN-0000138,2023-01-07,2023-01,loja_propria,SKU-PER-001,perfumes,1,381.67,381.67,0.0,0.0,False,0.04,0.16,381.51,pontual
TXN-0000139,2023-01-17,2023-01,franquia,SKU-HAI-005,haircare,2,202.69,405.38,0.0,0.0,False,12.89,52.24,353.14,pontual
TXN-0000140,2023-01-12,2023-01,franquia,SKU-SKI-018,skincare,1,284.92,284.92,10.0,0.0,False,12.55,35.77,249.15,recorrente
TXN-0000141,2023-01-02,2023-01,marketplace,SKU-SKI-015,skincare,2,212.36,424.72,10.0,0.0,False,17.22,73.15,351.57,pontual
TXN-0000142,2023-01-16,2023-01,ecommerce,SKU-HAI-008,haircare,1,113.72,113.72,0.0,0.0,False,4.12,4.68,109.04,recorrente
TXN-0000143,2023-01-11,2023-01,ecommerce,SKU-MAQ-013,maquiagem,1,143.91,143.91,5.0,0.0,False,3.38,4.86,139.05,recorrente
TXN-0000144,2023-01-27,2023-01,loja_propria,SKU-MAQ-008,maquiagem,1,155.89,155.89,5.0,0.0,False,0.68,1.07,154.82,pontual
TXN-0000145,2023-01-05,2023-01,marketplace,SKU-PER-011,perfumes,1,185.88,185.88,0.0,0.0,False,16.0,29.75,156.13,pontual
TXN-0000146,2023-01-04,2023-01,ecommerce,SKU-HAI-008,haircare,2,113.72,227.44,0.0,0.0,False,3.96,9.01,218.43,pontual
TXN-0000147,2023-01-25,2023-01,marketplace,SKU-PER-013,perfumes,1,381.29,381.29,0.0,0.0,False,17.0,64.81,316.48,pontual
TXN-0000148,2023-01-14,2023-01,marketplace,SKU-HAI-009,haircare,1,185.29,185.29,10.0,0.0,False,16.75,31.03,154.26,pontual
TXN-0000149,2023-01-25,2023-01,marketplace,SKU-PER-009,perfumes,1,295.1,295.1,20.0,0.0,False,17.29,51.01,244.09,recorrente
TXN-0000150,2023-01-06,2023-01,marketplace,SKU-SKI-010,skincare,2,201.3,402.6,0.0,0.0,False,17.17,69.13,333.47,recorrente
TXN-0000151,2023-01-16,2023-01,ecommerce,SKU-PER-009,perfumes,1,368.88,368.88,0.0,0.0,False,3.87,14.28,354.6,recorrente
TXN-0000152,2023-01-15,2023-01,franquia,SKU-PER-013,perfumes,1,343.16,343.16,10.0,0.0,False,12.22,41.94,301.22,recorrente
TXN-0000153,2023-01-19,2023-01,ecommerce,SKU-PER-001,perfumes,2,381.67,763.34,0.0,0.0,False,4.81,36.74,726.6,pontual
TXN-0000154,2023-01-21,2023-01,marketplace,SKU-MAQ-011,maquiagem,1,62.16,62.16,0.0,0.0,False,17.54,10.91,51.25,recorrente
TXN-0000155,2023-01-26,2023-01,ecommerce,SKU-SKI-019,skincare,1,173.8,173.8,0.0,0.0,False,3.93,6.83,166.97,pontual
TXN-0000156,2023-01-04,2023-01,marketplace,SKU-SKI-003,skincare,1,141.7,141.7,0.0,0.0,False,17.09,24.21,117.49,pontual
TXN-0000157,2023-01-18,2023-01,ecommerce,SKU-SKI-004,skincare,1,120.55,120.55,0.0,0.0,False,3.22,3.89,116.66,recorrente
TXN-0000158,2023-01-11,2023-01,ecommerce,SKU-MAQ-012,maquiagem,2,101.31,202.62,0.0,0.0,False,3.32,6.73,195.89,recorrente
TXN-0000159,2023-01-28,2023-01,ecommerce,SKU-PER-005,perfumes,2,257.54,515.08,0.0,0.0,False,4.31,22.22,492.86,pontual
TXN-0000160,2023-01-09,2023-01,loja_propria,SKU-PER-007,perfumes,2,249.27,498.54,0.0,0.0,False,0.29,1.42,497.12,pontual
TXN-0000161,2023-01-15,2023-01,ecommerce,SKU-MAQ-011,maquiagem,3,49.73,149.19,20.0,0.0,False,3.4,5.08,144.11,recorrente
TXN-0000162,2023-01-16,2023-01,marketplace,SKU-PER-010,perfumes,4,395.35,1581.4,5.0,0.0,False,17.98,284.29,1297.11,pontual
TXN-0000163,2023-01-04,2023-01,ecommerce,SKU-MAQ-011,maquiagem,3,59.05,177.15,5.0,0.0,False,3.16,5.6,171.55,pontual
TXN-0000164,2023-01-13,2023-01,marketplace,SKU-SKI-001,skincare,3,188.9,566.7,0.0,0.0,False,16.17,91.66,475.04,pontual
TXN-0000165,2023-01-11,2023-01,marketplace,SKU-SKI-012,skincare,1,162.54,162.54,5.0,0.0,False,17.35,28.2,134.34,pontual
TXN-0000166,2023-01-01,2023-01,franquia,SKU-HAI-009,haircare,2,205.88,411.76,0.0,0.0,False,11.68,48.1,363.66,pontual
TXN-0000167,2023-01-12,2023-01,ecommerce,SKU-SKI-002,skincare,2,266.11,532.22,0.0,0.0,False,4.34,23.11,509.11,pontual
TXN-0000168,2023-01-09,2023-01,marketplace,SKU-SKI-010,skincare,1,181.17,181.17,10.0,0.0,False,17.68,32.03,149.14,pontual
TXN-0000169,2023-01-04,2023-01,marketplace,SKU-PER-010,perfumes,1,416.16,416.16,0.0,0.0,False,16.57,68.95,347.21,pontual
TXN-0000170,2023-01-10,2023-01,franquia,SKU-PER-007,perfumes,2,249.27,498.54,0.0,0.0,False,12.98,64.7,433.84,pontual
TXN-0000171,2023-01-04,2023-01,ecommerce,SKU-HAI-009,haircare,1,205.88,205.88,0.0,0.0,False,3.5,7.22,198.66,recorrente
TXN-0000172,2023-01-23,2023-01,franquia,SKU-MAQ-006,maquiagem,1,119.32,119.32,0.0,0.0,False,11.87,14.16,105.16,pontual
TXN-0000173,2023-01-16,2023-01,ecommerce,SKU-MAQ-002,maquiagem,1,70.91,70.91,0.0,0.0,False,3.21,2.28,68.63,pontual
TXN-0000174,2023-01-17,2023-01,ecommerce,SKU-HAI-005,haircare,2,202.69,405.38,0.0,0.0,False,3.14,12.74,392.64,recorrente
TXN-0000175,2023-01-28,2023-01,ecommerce,SKU-PER-010,perfumes,1,416.16,416.16,0.0,0.0,False,4.22,17.57,398.59,pontual
TXN-0000176,2023-01-10,2023-01,marketplace,SKU-HAI-003,haircare,2,68.88,137.76,10.0,0.0,False,16.57,22.83,114.93,pontual
TXN-0000177,2023-01-28,2023-01,marketplace,SKU-PER-002,perfumes,1,151.66,151.66,0.0,0.0,False,17.01,25.8,125.86,pontual
TXN-0000178,2023-01-18,2023-01,ecommerce,SKU-MAQ-015,maquiagem,1,69.42,69.42,5.0,0.0,False,4.44,3.08,66.34,pontual
TXN-0000179,2023-01-08,2023-01,franquia,SKU-HAI-002,haircare,2,71.88,143.76,5.0,0.0,False,11.23,16.14,127.62,recorrente
TXN-0000180,2023-01-24,2023-01,franquia,SKU-SKI-014,skincare,1,128.46,128.46,15.0,0.0,False,12.0,15.42,113.04,pontual
