cliente_id,canal_aquisicao,categoria_preferida,data_primeira_compra,data_ultima_compra,frequencia_compras_ano,ticket_medio,ltv_estimado,is_recorrente,status,uf,genero,faixa_etaria
CLI-000048,ecommerce,haircare,2024-07-10,2024-12-22,3,248.58,1354.14,True,ativo,MG,F,18-24
CLI-000049,franquia,maquiagem,2023-09-30,2024-05-22,4,162.26,1478.0,True,ativo,PR,F,18-24
CLI-000050,marketplace,skincare,2024-02-24,2024-02-24,6,336.98,5974.15,True,ativo,RJ,F,45-54
CLI-000051,marketplace,maquiagem,2023-05-16,2023-09-11,1,75.31,189.1,False,ativo,PR,F,35-44
CLI-000052,ecommerce,maquiagem,2024-01-02,2024-08-11,4,183.2,1135.25,True,ativo,RS,F,35-44
CLI-000053,marketplace,maquiagem,2024-09-26,2024-12-31,3,55.06,287.89,True,ativo,SP,F,45-54
CLI-000054,franquia,skincare,2024-05-14,2024-10-05,2,376.63,1744.09,False,em_risco,MG,F,18-24
CLI-000055,loja_propria,maquiagem,2024-03-18,2024-03-25,1,195.94,302.88,False,ativo,SP,F,25-34
CLI-000056,franquia,skincare,2023-04-19,2023-04-19,2,265.78,1233.59,False,ativo,RS,F,45-54
CLI-000057,franquia,perfumes,2023-09-29,2024-10-21,1,200.98,442.4,False,inativo,SP,F,45-54
CLI-000058,marketplace,skincare,2023-06-08,2024-02-08,1,319.57,591.2,False,ativo,RS,M,55+
CLI-000059,marketplace,skincare,2024-09-15,2024-12-31,12,278.81,5416.27,True,ativo,PE,F,35-44
CLI-000060,franquia,maquiagem,2023-12-27,2024-12-31,2,150.35,580.34,False,ativo,DF,F,55+
CLI-000061,franquia,skincare,2024-03-09,2024-12-31,6,318.47,3847.29,True,inativo,RJ,F,35-44
CLI-000062,ecommerce,haircare,2023-09-21,2023-11-26,3,249.46,1688.56,True,inativo,RJ,M,25-34
CLI-000063,marketplace,maquiagem,2023-02-01,2023-04-24,6,110.22,1686.27,True,inativo,SP,NI,35-44
CLI-000064,marketplace,perfumes,2023-01-23,2023-07-02,1,155.54,412.41,False,ativo,MG,M,18-24
CLI-000065,ecommerce,haircare,2024-04-22,2024-12-31,1,262.9,581.21,False,ativo,SC,M,35-44
CLI-000066,franquia,maquiagem,2024-09-03,2024-09-10,1,62.42,170.26,False,inativo,GO,NI,18-24
CLI-000067,ecommerce,skincare,2023-03-21,2023-07-05,1,186.68,380.37,False,ativo,SP,F,25-34
CLI-000068,ecommerce,skincare,2024-04-17,2024-11-07,2,266.01,1582.16,False,ativo,SP,F,35-44
CLI-000069,franquia,maquiagem,2024-04-14,2024-11-09,2,117.7,519.18,False,ativo,RJ,F,25-34
CLI-000070,marketplace,skincare,2024-02-04,2024-10-09,2,125.11,583.2,False,ativo,SP,F,18-24
CLI-000071,marketplace,maquiagem,2023-09-23,2024-01-03,1,164.14,394.3,False,ativo,RJ,M,18-24
CLI-000072,ecommerce,perfumes,2023-05-03,2023-09-29,2,208.59,1001.39,False,ativo,BA,F,18-24
CLI-000073,marketplace,maquiagem,2023-01-16,2023-11-25,3,63.01,296.39,True,ativo,PE,F,25-34
CLI-000074,franquia,maquiagem,2023-04-15,2024-02-17,1,73.36,195.37,False,em_risco,RJ,F,55+
CLI-000075,marketplace,maquiagem,2023-08-06,2024-06-08,2,197.77,682.86,False,ativo,RS,F,25-34
CLI-000076,franquia,skincare,2024-04-17,2024-07-16,2,303.89,1588.73,False,inativo,MG,F,25-34
CLI-000077,ecommerce,maquiagem,2024-10-06,2024-12-31,6,170.13,2353.53,True,em_risco,RS,F,25-34
CLI-000078,ecommerce,perfumes,2023-08-01,2024-06-10,2,471.46,2380.81,False,em_risco,GO,F,25-34
CLI-000079,ecommerce,maquiagem,2024-06-06,2024-09-27,12,145.99,3877.65,True,ativo,SC,F,25-34
CLI-000080,ecommerce,skincare,2023-09-03,2023-11-28,4,112.57,1046.39,True,ativo,PR,F,45-54
CLI-000081,ecommerce,perfumes,2024-06-10,2024-12-31,6,364.69,4175.0,True,ativo,RJ,NI,25-34
CLI-000082,marketplace,skincare,2023-07-16,2024-02-11,6,380.73,6040.45,True,ativo,RJ,F,18-24
CLI-000083,marketplace,maquiagem,2023-12-14,2024-03-30,1,75.4,221.08,False,inativo,PE,M,35-44
CLI-000084,marketplace,skincare,2024-02-04,2024-12-07,2,377.08,1504.76,False,ativo,MG,F,25-34
CLI-000085,loja_propria,maquiagem,2024-03-16,2024-12-24,4,181.89,1179.23,True,em_risco,SP,M,25-34
CLI-000086,ecommerce,haircare,2024-08-31,2024-12-31,3,169.2,980.55,True,ativo,SP,F,18-24
CLI-000087,ecommerce,maquiagem,2023-03-27,2023-08-26,3,61.02,382.87,True,inativo,RJ,F,25-34
CLI-000088,ecommerce,perfumes,2023-11-11,2024-03-15,1,444.29,1318.48,False,ativo,BA,F,25-34
CLI-000089,marketplace,perfumes,2024-08-28,2024-12-31,6,179.46,3070.98,True,ativo,MG,F,18-24
CLI-000090,ecommerce,perfumes,2023-02-13,2023-09-26,2,299.2,1435.15,False,ativo,SC,M,35-44
CLI-000091,franquia,maquiagem,2024-10-05,2024-12-31,4,76.63,519.2,True,ativo,MG,F,35-44
CLI-000092,ecommerce,perfumes,2024-08-24,2024-12-31,2,447.97,2501.6,False,inativo,PE,F,35-44
CLI-000093,ecommerce,maquiagem,2024-03-16,2024-05-31,4,137.39,1189.1,True,ativo,RJ,F,25-34
CLI-000094,ecommerce,perfumes,2024-02-26,2024-03-08,1,327.1,572.95,False,ativo,SP,NI,45-54
CLI-000095,franquia,perfumes,2024-05-25,2024-12-31,1,484.86,1383.78,False,inativo,SP,M,35-44
CLI-000096,franquia,skincare,2024-04-07,2024-04-17,2,208.48,706.25,False,ativo,DF,F,18-24
CLI-000097,ecommerce,haircare,2023-11-04,2024-10-13,2,174.2,910.31,False,ativo,SP,F,35-44
CLI-000098,ecommerce,perfumes,2024-03-21,2024-06-14,2,367.28,1823.25,False,ativo,MG,F,25-34
CLI-000099,franquia,perfumes,2023-11-23,2024-09-10,3,362.78,2987.79,True,ativo,SP,F,25-34
CLI-000100,marketplace,maquiagem,2023-05-12,2023-11-13,3,173.11,1451.18,True,ativo,SP,F,25-34
CLI-000101,franquia,skincare,2023-07-02,2024-04-01,1,103.01,198.98,False,inativo,SP,F,25-34
CLI-000102,loja_propria,skincare,2023-02-18,2023-04-22,1,134.74,344.34,False,ativo,RJ,M,25-34
CLI-000103,marketplace,perfumes,2023-03-19,2023-09-11,12,175.23,4513.38,True,ativo,PE,F,45-54
CLI-000104,ecommerce,perfumes,2023-08-23,2024-06-20,1,507.35,1015.12,False,inativo,SP,F,18-24
CLI-000105,ecommerce,perfumes,2024-08-10,2024-11-14,1,172.24,364.83,False,ativo,RJ,M,18-24
CLI-000106,marketplace,haircare,2023-03-28,2023-09-28,2,192.87,986.84,False,em_risco,BA,M,35-44
CLI-000107,franquia,haircare,2024-03-30,2024-12-31,2,252.24,1167.48,False,inativo,RS,F,45-54
CLI-000108,franquia,perfumes,2023-03-02,2023-09-17,12,549.42,15811.33,True,inativo,MG,F,35-44
CLI-000109,ecommerce,skincare,2023-07-10,2024-05-18,4,277.6,3308.0,True,ativo,SP,F,25-34
CLI-000110,marketplace,skincare,2023-10-26,2024-02-11,1,130.53,277.12,False,ativo,SP,M,18-24
CLI-000111,ecommerce,perfumes,2023-07-07,2024-04-07,4,131.14,1256.88,True,ativo,BA,F,25-34
CLI-000112,ecommerce,haircare,2023-11-24,2024-04-16,1,196.97,563.37,False,inativo,SP,F,25-34
CLI-000113,franquia,perfumes,2023-07-16,2023-09-26,6,283.33,3828.88,True,inativo,SP,F,35-44
CLI-000114,ecommerce,skincare,2023-04-23,2023-05-05,2,290.48,1306.74,False,ativo,GO,M,35-44
CLI-000115,marketplace,maquiagem,2023-02-23,2024-03-10,2,166.85,790.47,False,ativo,PR,F,55+
CLI-000116,ecommerce,haircare,2024-02-16,2024-12-11,12,103.37,3649.61,True,ativo,SP,NI,25-34
CLI-000117,marketplace,skincare,2023-08-12,2024-01-06,4,111.39,679.33,True,em_risco,RJ,F,45-54
CLI-000118,ecommerce,maquiagem,2023-01-07,2023-11-18,6,137.39,1314.09,True,ativo,SP,F,25-34
CLI-000119,ecommerce,maquiagem,2023-05-04,2024-01-25,4,178.93,1733.21,True,ativo,SP,F,25-34
CLI-000120,franquia,skincare,2023-02-06,2023-12-06,1,274.9,612.6,False,ativo,DF,F,35-44
CLI-000121,marketplace,maquiagem,2023-06-02,2024-05-17,2,117.55,558.38,False,inativo,SP,NI,18-24
CLI-000122,franquia,maquiagem,2024-03-29,2024-10-23,3,56.2,340.0,True,inativo,PE,F,35-44
CLI-000123,marketplace,skincare,2023-01-31,2023-12-25,6,256.03,2678.46,True,em_risco,SP,F,18-24
CLI-000124,franquia,skincare,2023-08-02,2024-07-21,1,377.47,984.83,False,em_risco,RS,F,18-24
CLI-000125,ecommerce,skincare,2023-04-16,2024-05-05,1,321.74,755.39,False,ativo,SP,F,25-34
CLI-000126,ecommerce,haircare,2023-06-04,2023-08-14,3,124.62,1089.93,True,ativo,SP,F,55+
CLI-000127,ecommerce,skincare,2023-01-01,2023-12-25,2,306.76,1460.47,False,em_risco,MG,M,25-34
CLI-000128,franquia,perfumes,2023-08-20,2024-02-11,3,362.57,2311.11,True,ativo,SP,F,18-24
CLI-000129,marketplace,skincare,2023-05-13,2024-04-05,3,293.48,2159.76,True,inativo,BA,F,25-34
CLI-000130,marketplace,perfumes,2023-11-11,2024-03-24,2,346.87,1518.59,False,ativo,SP,F,35-44
CLI-000131,franquia,skincare,2024-09-25,2024-12-31,2,91.4,539.19,False,em_risco,RS,F,25-34
CLI-000132,ecommerce,skincare,2024-04-04,2024-10-23,1,358.1,800.74,False,em_risco,SP,F,35-44
CLI-000133,marketplace,perfumes,2023-05-10,2024-03-22,1,177.7,337.3,False,ativo,PR,F,35-44
CLI-000134,ecommerce,skincare,2024-03-19,2024-11-01,12,104.48,2192.08,True,ativo,RS,F,25-34
CLI-000135,ecommerce,maquiagem,2023-12-20,2024-11-14,6,108.36,1658.61,True,em_risco,PE,NI,55+
CLI-000136,marketplace,perfumes,2023-05-20,2024-04-11,2,481.46,1490.22,False,ativo,PR,NI,25-34
CLI-000137,loja_propria,haircare,2023-04-02,2023-05-30,12,184.18,3648.87,True,ativo,RJ,M,55+
CLI-000138,franquia,maquiagem,2024-10-01,2024-12-31,2,172.32,612.89,False,ativo,PE,F,25-34
CLI-000139,ecommerce,maquiagem,2024-08-07,2024-12-31,3,142.37,767.14,True,em_risco,SP,NI,18-24
CLI-000140,marketplace,skincare,2024-02-08,2024-05-23,2,276.84,1063.62,False,inativo,MG,F,35-44
CLI-000141,ecommerce,maquiagem,2023-04-04,2024-03-26,3,108.62,677.47,True,em_risco,DF,F,35-44
CLI-000142,ecommerce,maquiagem,2023-04-30,2023-05-11,4,163.95,1669.84,True,ativo,SP,F,25-34
CLI-000143,ecommerce,maquiagem,2024-03-05,2024-08-22,3,171.7,800.18,True,em_risco,SP,M,55+
CLI-000144,loja_propria,skincare,2023-11-20,2024-07-10,1,105.51,250.71,False,em_risco,SC,F,35-44
CLI-000145,franquia,skincare,2024-01-22,2024-07-22,2,368.04,2183.03,False,ativo,SP,F,45-54
CLI-000146,loja_propria,skincare,2024-02-21,2024-06-18,2,394.35,1611.92,False,ativo,MG,F,45-54
CLI-000147,marketplace,maquiagem,2024-09-14,2024-12-31,3,135.04,715.31,True,ativo,RJ,F,35-44
CLI-000148,ecommerce,perfumes,2024-08-26,2024-12-31,4,207.59,1996.72,True,ativo,PE,M,18-24
CLI-000149,ecommerce,perfumes,2024-03-02,2024-04-15,1,428.79,999.7,False,inativo,MG,F,25-34
CLI-000150,franquia,skincare,2024-03-20,2024-12-05,2,378.8,1495.52,False,ativo,PR,M,35-44
CLI-000151,marketplace,maquiagem,2023-11-11,2024-01-03,4,75.03,643.3,True,inativo,PE,F,55+
CLI-000152,marketplace,perfumes,2023-02-14,2023-06-28,2,539.99,2563.49,False,ativo,MG,F,35-44
CLI-000153,ecommerce,maquiagem,2024-03-26,2024-12-31,2,63.46,254.01,False,ativo,SP,M,25-34
CLI-000154,loja_propria,perfumes,2024-05-01,2024-12-10,2,490.57,2373.25,False,ativo,MG,F,18-24
CLI-000155,marketplace,maquiagem,2024-03-14,2024-12-31,2,183.25,609.28,False,ativo,SC,M,25-34
CLI-000156,loja_propria,perfumes,2023-03-08,2023-07-23,2,347.91,1781.68,False,ativo,SP,M,55+
CLI-000157,ecommerce,skincare,2023-08-31,2023-10-24,3,167.51,1299.28,True,inativo,DF,NI,25-34
CLI-000158,ecommerce,maquiagem,2024-01-13,2024-05-26,6,128.47,2024.48,True,ativo,BA,F,35-44
CLI-000159,marketplace,skincare,2023-10-19,2024-01-15,1,248.62,631.71,False,ativo,SP,M,25-34
CLI-000160,marketplace,maquiagem,2024-04-30,2024-06-20,2,104.02,585.64,False,inativo,BA,F,45-54
CLI-000161,ecommerce,haircare,2024-09-20,2024-12-31,3,142.7,1160.21,True,em_risco,MG,F,45-54
CLI-000162,marketplace,perfumes,2023-08-24,2024-01-11,6,255.23,3409.65,True,inativo,SP,F,25-34
CLI-000163,loja_propria,haircare,2023-03-07,2023-12-08,2,150.38,801.46,False,inativo,RS,F,35-44
CLI-000164,ecommerce,skincare,2024-09-01,2024-12-31,2,302.53,1472.57,False,ativo,PR,F,25-34
CLI-000165,ecommerce,maquiagem,2024-07-12,2024-12-31,2,130.74,432.86,False,inativo,MG,M,25-34
CLI-000166,ecommerce,perfumes,2024-09-11,2024-12-31,3,242.58,1111.33,True,ativo,PR,F,55+
CLI-000167,marketplace,maquiagem,2023-08-23,2024-07-25,2,144.28,487.82,False,ativo,SP,M,25-34
CLI-000168,ecommerce,skincare,2023-02-27,2023-10-05,2,129.24,629.59,False,em_risco,BA,F,55+
CLI-000169,franquia,maquiagem,2024-03-05,2024-07-22,2,159.79,523.72,False,inativo,RS,F,35-44
CLI-000170,ecommerce,maquiagem,2023-06-22,2023-06-22,2,125.68,411.38,False,ativo,RS,F,45-54
CLI-000171,loja_propria,skincare,2024-03-04,2024-03-06,3,114.27,840.72,True,em_risco,SP,NI,18-24
CLI-000172,marketplace,perfumes,2024-07-25,2024-12-31,4,441.44,3353.31,True,inativo,PR,F,35-44
CLI-000173,franquia,skincare,2024-02-23,2024-12-31,1,216.56,490.91,False,em_risco,RJ,F,25-34
CLI-000174,ecommerce,skincare,2023-02-04,2024-01-30,3,357.31,2632.31,True,ativo,RS,M,35-44
CLI-000175,franquia,skincare,2023-03-06,2023-06-30,1,352.06,651.56,False,em_risco,SC,M,18-24
CLI-000176,franquia,haircare,2023-09-12,2024-03-05,12,166.66,5053.2,True,em_risco,SP,F,18-24
CLI-000177,marketplace,perfumes,2024-04-26,2024-05-16,4,221.02,1549.05,True,ativo,SP,M,25-34
CLI-000178,ecommerce,perfumes,2024-03-09,2024-05-25,6,403.49,4249.45,True,ativo,PR,M,35-44
CLI-000179,marketplace,maquiagem,2023-10-03,2024-06-04,3,153.22,861.2,True,em_risco,RJ,M,35-44
CLI-000180,ecommerce,haircare,2023-11-26,2024-06-05,1,148.6,346.9,False,em_risco,SP,M,25-34
CLI-000181,franquia,skincare,2023-04-30,2023-11-03,4,206.93,1585.01,True,ativo,SP,F,25-34
CLI-000182,franquia,skincare,2023-01-17,2023-03-06,2,370.65,2159.56,False,ativo,SP,F,25-34
CLI-000183,loja_propria,skincare,2024-10-02,2024-12-31,1,147.11,417.33,False,em_risco,SP,M,35-44
CLI-000184,ecommerce,maquiagem,2023-04-03,2023-11-04,2,56.37,174.57,False,ativo,RJ,F,35-44
CLI-000185,franquia,maquiagem,2023-06-23,2023-12-17,3,154.74,910.46,True,em_risco,SP,F,25-34
CLI-000186,marketplace,perfumes,2024-02-02,2024-08-03,1,248.71,531.02,False,em_risco,MG,M,35-44
CLI-000187,ecommerce,skincare,2023-01-13,2024-01-22,2,144.96,817.86,False,em_risco,SP,F,35-44
CLI-000188,marketplace,perfumes,2023-11-10,2024-09-01,3,166.75,1286.11,True,inativo,RS,M,25-34
CLI-000189,ecommerce,skincare,2024-05-05,2024-12-31,3,170.63,1195.05,True,ativo,SC,F,35-44
CLI-000190,marketplace,skincare,2024-08-27,2024-12-31,12,260.25,5975.61,True,ativo,BA,NI,55+
CLI-000191,ecommerce,maquiagem,2024-03-03,2024-07-28,3,171.27,951.67,True,em_risco,RJ,F,35-44
CLI-000192,marketplace,maquiagem,2023-10-25,2024-04-27,4,62.16,411.29,True,ativo,MG,F,25-34
CLI-000193,franquia,skincare,2023-02-04,2024-03-06,1,372.62,821.5,False,ativo,RS,F,45-54
CLI-000194,loja_propria,skincare,2024-06-22,2024-09-03,1,348.81,976.25,False,ativo,MG,F,25-34
CLI-000195,marketplace,maquiagem,2024-06-21,2024-07-13,2,156.58,920.28,False,ativo,MG,F,45-54
CLI-000196,ecommerce,skincare,2024-08-19,2024-11-07,2,304.04,1564.35,False,em_risco,RS,F,35-44
CLI-000197,ecommerce,perfumes,2024-05-31,2024-12-31,2,165.79,952.02,False,ativo,RJ,F,25-34
CLI-000198,marketplace,perfumes,2024-08-24,2024-12-31,2,216.74,1217.88,False,ativo,SC,F,25-34
CLI-000199,ecommerce,perfumes,2024-06-28,2024-12-31,1,435.76,1076.96,False,inativo,MG,F,35-44
CLI-000200,ecommerce,skincare,2023-10-28,2024-06-20,2,191.05,739.0,False,inativo,DF,M,35-44
CLI-000201,franquia,skincare,2023-07-23,2023-07-23,1,375.17,922.02,False,inativo,SP,F,45-54
CLI-000202,marketplace,haircare,2023-06-26,2024-03-23,2,77.92,341.01,False,ativo,SP,F,45-54
CLI-000203,marketplace,haircare,2023-09-03,2024-04-07,3,238.65,1531.54,True,inativo,DF,F,18-24
CLI-000204,ecommerce,maquiagem,2024-01-13,2024-12-08,3,152.99,1229.44,True,ativo,MG,M,18-24
CLI-000205,franquia,perfumes,2023-06-21,2024-02-16,2,168.07,920.12,False,ativo,MG,F,35-44
CLI-000206,marketplace,haircare,2023-05-15,2024-04-29,1,188.79,495.16,False,ativo,RJ,F,25-34
CLI-000207,franquia,haircare,2023-10-07,2024-11-09,4,225.56,1741.87,True,ativo,RJ,F,25-34
CLI-000208,marketplace,skincare,2023-01-30,2023-08-26,1,173.36,342.03,False,inativo,SP,F,18-24
CLI-000209,loja_propria,haircare,2023-12-10,2024-08-27,2,73.38,329.94,False,em_risco,RJ,F,45-54
CLI-000210,ecommerce,haircare,2023-09-29,2024-09-22,3,200.82,1129.37,True,ativo,DF,F,45-54
CLI-000211,ecommerce,perfumes,2023-10-21,2023-11-18,1,386.63,708.04,False,inativo,SC,F,35-44
CLI-000212,ecommerce,haircare,2023-12-23,2024-01-21,3,182.47,857.77,True,ativo,SC,M,25-34
CLI-000213,marketplace,haircare,2024-08-04,2024-10-31,3,65.77,449.16,True,ativo,PE,M,35-44
CLI-000214,marketplace,maquiagem,2023-09-19,2023-11-02,1,114.13,185.84,False,ativo,MG,F,35-44
CLI-000215,loja_propria,maquiagem,2023-05-27,2023-06-30,1,85.25,201.89,False,inativo,RJ,F,25-34
CLI-000216,marketplace,perfumes,2023-08-10,2024-06-05,1,398.75,983.58,False,em_risco,PR,M,25-34
CLI-000217,loja_propria,perfumes,2023-06-14,2023-08-27,2,443.08,1523.81,False,ativo,RS,F,55+
CLI-000218,franquia,perfumes,2023-01-08,2023-08-24,2,505.08,2129.73,False,inativo,RJ,F,35-44
CLI-000219,franquia,haircare,2024-05-15,2024-07-06,1,229.18,361.19,False,ativo,RS,F,35-44
CLI-000220,franquia,haircare,2024-07-14,2024-12-31,1,136.13,332.77,False,em_risco,SP,F,35-44
CLI-000221,franquia,haircare,2023-10-03,2023-12-07,1,126.96,327.64,False,ativo,SP,F,18-24
CLI-000222,loja_propria,maquiagem,2024-06-09,2024-12-31,2,77.3,429.55,False,inativo,SP,F,25-34
CLI-000223,ecommerce,maquiagem,2024-04-07,2024-09-14,1,108.95,294.76,False,em_risco,MG,F,18-24
CLI-000224,ecommerce,skincare,2023-01-10,2023-10-11,2,138.87,779.64,False,ativo,PR,F,25-34
CLI-000225,franquia,haircare,2024-01-18,2024-12-31,2,161.69,546.19,False,inativo,RS,F,55+
CLI-000226,ecommerce,skincare,2023-11-04,2024-10-03,1,318.93,938.65,False,ativo,SP,F,18-24
CLI-000227,ecommerce,skincare,2024-08-06,2024-12-31,1,118.23,309.31,False,em_risco,PR,NI,25-34
CLI-000228,marketplace,perfumes,2024-03-10,2024-12-31,2,476.01,1660.49,False,inativo,RS,F,45-54
CLI-000229,loja_propria,perfumes,2023-04-13,2024-01-04,1,432.5,1203.33,False,em_risco,RJ,M,18-24
CLI-000230,marketplace,maquiagem,2023-07-25,2023-08-13,4,77.03,786.65,True,ativo,MG,NI,25-34
CLI-000231,loja_propria,haircare,2023-12-19,2024-04-21,6,249.29,3291.51,True,ativo,PR,F,35-44
CLI-000232,franquia,haircare,2024-04-20,2024-12-31,2,236.77,891.35,False,inativo,RS,F,25-34
CLI-000233,ecommerce,maquiagem,2024-07-23,2024-12-31,3,57.47,443.01,True,inativo,SP,F,18-24
CLI-000234,franquia,haircare,2023-09-16,2024-04-09,1,218.73,564.1,False,ativo,SP,F,35-44
CLI-000235,ecommerce,maquiagem,2023-04-05,2023-07-02,1,88.76,256.08,False,em_risco,BA,F,25-34
CLI-000236,ecommerce,skincare,2023-05-05,2023-06-19,1,142.91,355.47,False,ativo,PE,M,25-34
CLI-000237,marketplace,haircare,2023-01-27,2024-02-06,4,129.31,1264.44,True,inativo,MG,F,25-34
CLI-000238,franquia,perfumes,2024-09-09,2024-12-31,1,303.83,552.52,False,inativo,GO,M,35-44
CLI-000239,loja_propria,skincare,2023-10-20,2024-06-27,1,120.28,234.98,False,ativo,MG,F,35-44
CLI-000240,marketplace,haircare,2023-01-28,2023-03-27,3,152.82,1079.53,True,ativo,SP,F,25-34
CLI-000241,franquia,maquiagem,2023-01-09,2023-05-29,1,102.89,245.45,False,ativo,PE,M,45-54
CLI-000242,ecommerce,haircare,2023-01-08,2023-10-23,6,241.04,2327.84,True,ativo,RS,M,35-44
